	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	10	6	39	292	102	156
IGHV1-2	1	1	21	68	22	60
IGHV1-24	0	0	7	40	10	22
IGHV1-3	6	4	22	162	53	68
IGHV1-45	0	0	1	0	0	0
IGHV1-46	4	3	27	111	35	56
IGHV1-58	0	1	6	41	7	26
IGHV1-69	14	13	64	335	106	229
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	3	4	20	70	39	48
IGHV2-26	1	1	1	16	9	10
IGHV2-5	8	5	29	210	74	39
IGHV2-70	2	3	6	17	5	25
IGHV3-11	3	8	14	110	19	29
IGHV3-13	1	1	2	5	6	15
IGHV3-15	4	0	15	81	10	33
IGHV3-20	0	0	6	12	1	10
IGHV3-21	2	1	18	112	24	57
IGHV3-23	10	6	62	384	75	95
IGHV3-30	4	9	35	296	42	143
IGHV3-30-3	5	5	31	206	29	103
IGHV3-33	6	8	25	202	29	93
IGHV3-43	0	0	0	2	0	3
IGHV3-47	0	0	0	0	0	0
IGHV3-48	8	2	21	118	25	45
IGHV3-49	0	0	3	16	7	9
IGHV3-52	0	0	0	0	0	1
IGHV3-53	3	5	26	65	10	32
IGHV3-64	1	1	6	33	5	18
IGHV3-66	1	2	17	79	11	32
IGHV3-7	1	2	17	86	19	26
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	4	28	3	6
IGHV3-73	0	0	6	20	6	11
IGHV3-74	4	2	8	89	20	28
IGHV3-9	2	4	16	39	13	24
IGHV4-28	0	1	1	14	2	7
IGHV4-30-2	5	2	17	104	53	26
IGHV4-30-4	3	3	18	148	74	44
IGHV4-31	6	5	34	191	84	84
IGHV4-34	9	5	22	164	86	77
IGHV4-38-2	0	0	1	4	1	5
IGHV4-39	7	8	45	262	99	101
IGHV4-4	4	5	12	113	39	40
IGHV4-55	0	0	0	0	0	0
IGHV4-59	8	11	59	359	164	165
IGHV4-61	0	4	16	87	39	46
IGHV5-10-1	0	1	11	31	15	39
IGHV5-51	5	1	36	133	38	123
IGHV6-1	0	0	10	35	16	19
IGHV7-4-1	0	1	0	2	0	1
