	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	159	13	492	2736	690	1291
IGHV1-2	140	111	430	2565	694	1211
IGHV1-24	26	8	153	620	117	244
IGHV1-3	13	1	30	321	95	116
IGHV1-45	0	0	3	0	0	0
IGHV1-46	29	11	134	729	184	287
IGHV1-58	6	3	410	129	26	163
IGHV1-69	77	22	370	1463	583	1120
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	59	119	222	1111	283	966
IGHV2-26	0	0	0	6	0	0
IGHV2-5	19	3	147	649	215	76
IGHV2-70	0	0	0	51	16	18
IGHV3-11	90	66	399	1904	303	771
IGHV3-13	8	101	306	217	55	203
IGHV3-15	51	84	260	1394	215	985
IGHV3-20	22	2	98	589	63	157
IGHV3-21	69	49	580	2446	480	1327
IGHV3-23	190	84	799	4188	597	1049
IGHV3-30	233	46	691	4558	563	2445
IGHV3-30-3	88	45	537	2976	388	1391
IGHV3-33	24	4	280	803	100	388
IGHV3-43	25	1	27	275	16	200
IGHV3-47	0	0	0	0	0	0
IGHV3-48	90	77	395	1976	281	939
IGHV3-49	8	3	139	499	178	172
IGHV3-52	0	0	0	3	0	0
IGHV3-53	32	59	295	1153	140	622
IGHV3-64	0	3	10	22	0	5
IGHV3-66	1	0	5	44	3	26
IGHV3-7	115	101	697	2959	504	1431
IGHV3-71	0	0	0	0	0	0
IGHV3-72	16	2	14	90	12	12
IGHV3-73	0	7	41	215	36	155
IGHV3-74	31	15	139	1073	203	333
IGHV3-9	114	47	730	1633	384	1074
IGHV4-28	0	1	15	3	1	0
IGHV4-30-2	3	14	49	239	118	45
IGHV4-30-4	21	25	169	967	416	218
IGHV4-31	4	20	76	272	196	107
IGHV4-34	56	88	217	1976	534	737
IGHV4-38-2	38	30	87	603	244	137
IGHV4-39	105	116	347	2208	954	620
IGHV4-4	16	14	123	785	372	371
IGHV4-55	0	0	0	0	0	0
IGHV4-59	65	41	286	1159	554	484
IGHV4-61	14	8	102	613	187	241
IGHV5-10-1	0	0	3	5	0	6
IGHV5-51	34	34	634	1070	370	497
IGHV6-1	22	39	217	568	164	279
IGHV7-4-1	19	8	67	402	137	261
