	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	7	8	46	300	101	147
IGHV1-2	7	3	12	62	17	65
IGHV1-24	2	0	7	51	9	17
IGHV1-3	5	5	27	158	44	72
IGHV1-45	0	0	3	1	0	0
IGHV1-46	6	3	17	122	32	51
IGHV1-58	0	1	3	18	7	14
IGHV1-69	6	22	80	358	126	254
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	4	6	13	90	33	59
IGHV2-26	0	0	3	18	5	9
IGHV2-5	9	7	31	186	72	30
IGHV2-70	0	1	2	35	11	24
IGHV3-11	3	2	15	74	31	39
IGHV3-13	1	2	3	13	4	15
IGHV3-15	6	1	10	80	16	29
IGHV3-20	1	1	3	17	2	6
IGHV3-21	2	6	18	105	25	54
IGHV3-23	12	10	49	374	58	111
IGHV3-30	7	12	50	259	41	135
IGHV3-30-3	12	6	24	198	28	88
IGHV3-33	4	4	40	179	26	84
IGHV3-43	0	0	0	4	3	4
IGHV3-47	0	0	0	0	0	0
IGHV3-48	2	5	20	113	33	43
IGHV3-49	1	1	1	25	4	8
IGHV3-52	0	0	0	1	0	1
IGHV3-53	2	3	10	40	13	35
IGHV3-64	1	2	8	32	4	10
IGHV3-66	0	3	19	75	13	36
IGHV3-7	5	2	23	90	16	32
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	1	4	16	1	6
IGHV3-73	0	1	7	26	9	15
IGHV3-74	2	0	15	97	14	36
IGHV3-9	1	2	15	51	10	38
IGHV4-28	0	0	1	4	3	4
IGHV4-30-2	1	6	17	89	48	29
IGHV4-30-4	5	7	20	136	60	66
IGHV4-31	10	9	47	162	85	84
IGHV4-34	10	6	30	179	53	90
IGHV4-38-2	0	0	1	5	9	0
IGHV4-39	8	11	32	319	100	99
IGHV4-4	4	5	17	113	53	69
IGHV4-55	0	0	0	0	0	0
IGHV4-59	7	4	56	344	164	156
IGHV4-61	2	0	18	78	37	40
IGHV5-10-1	0	1	8	48	13	55
IGHV5-51	1	2	35	133	30	124
IGHV6-1	0	1	11	29	19	23
IGHV7-4-1	0	0	0	3	1	1
