	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	158	20	900	3592	778	1475
IGHV1-2	99	41	862	1887	668	754
IGHV1-24	34	6	143	631	108	113
IGHV1-3	0	0	4	6	3	0
IGHV1-45	0	0	5	0	0	0
IGHV1-46	25	2	252	490	167	185
IGHV1-58	3	0	33	50	9	23
IGHV1-69	103	63	666	1523	430	1262
IGHV1-69-2	0	0	0	3	0	0
IGHV1-8	10	14	319	605	262	500
IGHV2-26	0	0	1	0	0	2
IGHV2-5	24	6	86	412	115	53
IGHV2-70	0	0	0	2	0	0
IGHV3-11	63	31	369	1026	273	619
IGHV3-13	1	21	116	64	25	118
IGHV3-15	237	16	989	2410	193	519
IGHV3-20	12	20	296	558	140	320
IGHV3-21	145	30	878	2680	559	969
IGHV3-23	285	109	1533	6490	616	1401
IGHV3-30	221	40	512	2354	332	1068
IGHV3-30-3	0	0	0	4	0	0
IGHV3-33	23	9	309	1041	152	527
IGHV3-43	9	3	16	136	16	54
IGHV3-47	0	0	0	0	0	0
IGHV3-48	95	99	973	2306	399	778
IGHV3-49	39	10	323	2285	127	362
IGHV3-52	0	0	0	2	0	1
IGHV3-53	64	11	231	440	49	194
IGHV3-64	10	28	158	258	12	118
IGHV3-66	23	13	229	571	71	215
IGHV3-7	178	56	1136	3794	521	1006
IGHV3-71	0	0	0	4	0	0
IGHV3-72	6	3	75	403	11	287
IGHV3-73	10	16	75	244	44	138
IGHV3-74	98	67	330	1292	299	391
IGHV3-9	72	40	442	931	169	340
IGHV4-28	0	0	3	7	0	4
IGHV4-30-2	0	0	3	0	2	0
IGHV4-30-4	0	0	0	1	0	0
IGHV4-31	0	0	0	1	1	0
IGHV4-34	38	38	904	1176	362	780
IGHV4-38-2	81	50	704	1970	719	627
IGHV4-39	37	35	215	1835	464	487
IGHV4-4	9	46	321	719	322	1003
IGHV4-55	0	0	0	0	0	0
IGHV4-59	91	129	845	2408	1520	1987
IGHV4-61	15	22	462	788	299	597
IGHV5-10-1	0	0	2	0	0	0
IGHV5-51	42	27	622	1361	324	437
IGHV6-1	4	28	228	561	152	169
IGHV7-4-1	0	0	0	0	0	0
