	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	176	25	903	3620	725	1447
IGHV1-2	89	48	863	1960	620	760
IGHV1-24	25	5	145	570	112	102
IGHV1-3	0	0	1	1	0	1
IGHV1-45	0	0	1	1	2	2
IGHV1-46	27	7	219	497	170	188
IGHV1-58	4	4	42	52	10	17
IGHV1-69	121	53	648	1463	444	1261
IGHV1-69-2	0	0	0	2	0	0
IGHV1-8	14	13	298	636	258	531
IGHV2-26	0	0	2	0	0	1
IGHV2-5	17	6	78	423	128	35
IGHV2-70	0	0	0	3	0	0
IGHV3-11	59	32	379	1020	274	609
IGHV3-13	0	22	97	97	19	121
IGHV3-15	270	14	970	2374	191	542
IGHV3-20	14	23	285	571	158	328
IGHV3-21	144	46	825	2767	493	1062
IGHV3-23	266	107	1528	6506	661	1403
IGHV3-30	248	38	488	2288	300	1017
IGHV3-30-3	0	0	0	9	1	3
IGHV3-33	19	6	362	995	140	499
IGHV3-43	11	1	28	153	11	56
IGHV3-47	0	0	0	0	0	0
IGHV3-48	95	102	1012	2227	397	767
IGHV3-49	30	30	295	2250	125	349
IGHV3-52	0	0	0	0	0	0
IGHV3-53	57	9	192	446	51	179
IGHV3-64	11	31	168	260	20	95
IGHV3-66	13	12	239	574	68	217
IGHV3-7	179	50	1143	3891	577	969
IGHV3-71	0	0	0	3	0	0
IGHV3-72	0	3	85	434	13	300
IGHV3-73	14	12	79	242	41	138
IGHV3-74	80	55	307	1303	293	379
IGHV3-9	68	52	462	887	158	339
IGHV4-28	0	0	4	6	1	4
IGHV4-30-2	0	1	2	3	1	0
IGHV4-30-4	0	0	0	1	0	0
IGHV4-31	0	0	0	1	1	0
IGHV4-34	33	26	820	1198	356	807
IGHV4-38-2	69	61	758	2017	746	616
IGHV4-39	34	51	242	1823	449	448
IGHV4-4	10	55	298	754	332	1014
IGHV4-55	0	0	0	0	0	0
IGHV4-59	80	165	916	2483	1445	2004
IGHV4-61	20	24	437	834	328	570
IGHV5-10-1	0	0	2	0	0	0
IGHV5-51	41	30	597	1291	337	469
IGHV6-1	5	23	281	573	155	145
IGHV7-4-1	0	0	0	0	0	0
