	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	8	4	59	274	114	132
IGHV1-2	4	1	24	77	18	77
IGHV1-24	4	0	14	71	23	36
IGHV1-3	6	1	18	105	41	59
IGHV1-45	0	0	1	0	0	0
IGHV1-46	2	2	22	107	33	47
IGHV1-58	0	1	4	19	8	17
IGHV1-69	6	6	60	219	67	185
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	0	2	26	73	34	79
IGHV2-26	0	2	4	11	5	7
IGHV2-5	4	1	12	86	46	20
IGHV2-70	0	0	2	19	5	12
IGHV3-11	2	2	20	112	31	82
IGHV3-13	0	2	14	19	8	28
IGHV3-15	2	2	38	168	23	103
IGHV3-20	0	0	7	7	2	11
IGHV3-21	4	4	45	199	31	103
IGHV3-23	34	20	201	1005	189	368
IGHV3-30	11	8	58	328	51	214
IGHV3-30-3	3	1	18	150	8	113
IGHV3-33	5	5	44	261	33	161
IGHV3-43	0	1	0	23	0	12
IGHV3-47	0	0	0	0	0	0
IGHV3-48	5	4	24	92	16	40
IGHV3-49	1	0	7	13	3	10
IGHV3-52	0	0	0	0	0	0
IGHV3-53	1	3	7	28	1	23
IGHV3-64	3	1	8	22	3	15
IGHV3-66	5	2	10	31	4	23
IGHV3-7	0	2	23	63	9	36
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	1	10	2	7
IGHV3-73	0	1	1	6	2	13
IGHV3-74	0	2	18	45	9	29
IGHV3-9	2	5	22	51	11	15
IGHV4-28	0	0	1	2	0	2
IGHV4-30-2	0	0	6	27	10	12
IGHV4-30-4	0	0	6	36	15	17
IGHV4-31	1	9	31	160	69	76
IGHV4-34	3	3	24	189	83	93
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	7	10	38	211	84	102
IGHV4-4	1	3	14	50	24	23
IGHV4-55	0	0	0	0	0	0
IGHV4-59	6	15	46	195	100	136
IGHV4-61	0	0	6	26	14	15
IGHV5-10-1	0	1	2	18	5	17
IGHV5-51	1	3	47	87	43	89
IGHV6-1	0	0	12	24	10	27
IGHV7-4-1	0	0	0	1	0	1
