	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	9	11	48	273	99	149
IGHV1-2	1	1	16	67	28	89
IGHV1-24	1	2	6	35	14	20
IGHV1-3	7	3	27	144	52	64
IGHV1-45	0	0	0	0	0	0
IGHV1-46	6	0	28	126	34	56
IGHV1-58	2	1	9	28	7	27
IGHV1-69	13	20	84	328	118	227
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	2	3	19	81	34	70
IGHV2-26	1	4	4	22	7	9
IGHV2-5	10	6	23	216	76	32
IGHV2-70	1	0	3	40	2	22
IGHV3-11	6	7	13	107	19	51
IGHV3-13	0	2	3	15	5	12
IGHV3-15	2	2	13	74	7	26
IGHV3-20	0	0	3	10	3	4
IGHV3-21	2	6	16	97	29	58
IGHV3-23	13	7	59	367	89	92
IGHV3-30	12	8	41	311	45	123
IGHV3-30-3	12	9	28	202	34	84
IGHV3-33	7	7	26	184	24	89
IGHV3-43	0	0	0	4	0	3
IGHV3-47	0	0	0	0	0	0
IGHV3-48	4	3	26	115	38	59
IGHV3-49	1	0	4	18	9	17
IGHV3-52	0	0	0	0	0	0
IGHV3-53	2	1	8	49	13	32
IGHV3-64	0	1	5	42	2	10
IGHV3-66	3	3	13	77	16	27
IGHV3-7	5	0	22	89	11	33
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	5	20	1	7
IGHV3-73	3	2	2	28	7	13
IGHV3-74	0	1	16	94	25	27
IGHV3-9	0	2	11	46	6	31
IGHV4-28	0	0	1	10	3	3
IGHV4-30-2	4	1	21	125	59	28
IGHV4-30-4	6	5	20	143	59	51
IGHV4-31	5	7	36	205	85	78
IGHV4-34	6	6	25	175	87	71
IGHV4-38-2	1	0	2	7	6	2
IGHV4-39	9	9	43	265	102	109
IGHV4-4	3	5	16	98	65	36
IGHV4-55	0	0	0	0	0	0
IGHV4-59	13	9	52	352	140	130
IGHV4-61	5	1	9	87	51	31
IGHV5-10-1	2	2	12	37	11	33
IGHV5-51	4	2	35	121	30	111
IGHV6-1	0	0	9	31	9	17
IGHV7-4-1	0	0	1	2	2	1
