	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	4	7	43	188	95	158
IGHV1-2	1	4	36	145	67	124
IGHV1-24	2	1	9	34	8	26
IGHV1-3	3	0	14	65	20	34
IGHV1-45	0	0	0	1	0	1
IGHV1-46	1	2	17	88	35	69
IGHV1-58	0	0	4	17	7	14
IGHV1-69	10	22	77	293	140	396
IGHV1-69-2	0	0	0	2	2	2
IGHV1-8	2	0	8	34	37	58
IGHV2-26	0	2	0	22	8	11
IGHV2-5	2	0	12	70	19	12
IGHV2-70	0	0	5	28	10	18
IGHV3-11	4	2	18	100	28	63
IGHV3-13	0	1	5	13	3	24
IGHV3-15	1	1	10	80	18	46
IGHV3-20	0	0	0	0	0	0
IGHV3-21	5	4	42	152	49	134
IGHV3-23	18	12	76	602	149	225
IGHV3-30	3	8	39	253	47	203
IGHV3-30-3	5	6	28	198	38	131
IGHV3-33	4	5	9	144	32	122
IGHV3-43	0	0	1	14	0	10
IGHV3-47	0	0	0	0	0	0
IGHV3-48	2	5	25	120	34	99
IGHV3-49	1	0	4	33	4	34
IGHV3-52	0	0	0	0	0	0
IGHV3-53	1	3	16	81	15	61
IGHV3-64	1	0	5	13	11	15
IGHV3-66	0	0	0	6	1	0
IGHV3-7	2	5	17	117	22	82
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	1	4	9	3	8
IGHV3-73	0	0	2	21	3	13
IGHV3-74	0	3	14	72	20	39
IGHV3-9	2	1	22	65	16	50
IGHV4-28	0	0	0	3	0	0
IGHV4-30-2	1	3	8	45	22	17
IGHV4-30-4	1	3	17	94	56	52
IGHV4-31	4	9	31	126	73	83
IGHV4-34	6	3	16	181	71	137
IGHV4-38-2	0	0	9	50	28	15
IGHV4-39	2	3	17	133	71	64
IGHV4-4	4	6	22	139	53	75
IGHV4-55	0	0	0	0	0	0
IGHV4-59	2	4	36	171	92	112
IGHV4-61	0	3	13	70	44	49
IGHV5-10-1	1	2	17	39	24	85
IGHV5-51	2	3	48	114	45	137
IGHV6-1	1	0	8	32	21	33
IGHV7-4-1	0	0	0	0	1	3
