	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	15	7	51	308	108	119
IGHV1-2	2	1	21	58	29	54
IGHV1-24	0	1	6	41	11	10
IGHV1-3	0	2	15	150	75	72
IGHV1-45	0	0	0	1	0	1
IGHV1-46	2	1	16	136	33	66
IGHV1-58	1	1	4	28	4	29
IGHV1-69	12	13	78	347	136	232
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	2	0	17	88	41	81
IGHV2-26	1	1	4	24	12	11
IGHV2-5	6	4	27	193	77	30
IGHV2-70	0	0	3	27	8	40
IGHV3-11	2	6	19	90	31	41
IGHV3-13	0	3	2	11	2	12
IGHV3-15	3	1	12	73	9	26
IGHV3-20	0	0	3	11	0	5
IGHV3-21	5	6	20	108	30	46
IGHV3-23	12	12	59	345	78	108
IGHV3-30	13	10	44	275	52	146
IGHV3-30-3	5	9	30	202	29	98
IGHV3-33	1	8	35	181	36	79
IGHV3-43	0	0	0	4	0	4
IGHV3-47	0	0	0	0	0	0
IGHV3-48	8	3	32	116	19	54
IGHV3-49	0	1	7	20	3	6
IGHV3-52	0	0	0	0	0	0
IGHV3-53	4	1	10	51	14	35
IGHV3-64	1	1	12	41	4	19
IGHV3-66	4	3	12	84	13	42
IGHV3-7	4	1	16	77	15	30
IGHV3-71	0	0	0	0	0	0
IGHV3-72	2	1	6	24	3	9
IGHV3-73	0	1	6	25	5	8
IGHV3-74	2	2	13	81	20	28
IGHV3-9	3	2	9	56	3	29
IGHV4-28	0	1	3	11	3	4
IGHV4-30-2	2	1	21	117	48	30
IGHV4-30-4	4	4	18	128	48	55
IGHV4-31	5	11	38	181	74	74
IGHV4-34	6	5	17	189	78	70
IGHV4-38-2	0	0	1	9	2	3
IGHV4-39	8	8	37	271	126	106
IGHV4-4	5	4	19	100	59	51
IGHV4-55	0	0	0	1	0	0
IGHV4-59	12	11	54	357	158	140
IGHV4-61	1	1	13	98	50	26
IGHV5-10-1	0	0	11	35	10	33
IGHV5-51	3	2	36	117	37	115
IGHV6-1	1	1	9	36	10	15
IGHV7-4-1	0	0	1	2	1	1
