	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	286	27	310	2066	1089	1750
IGHV1-2	112	40	532	2106	731	1253
IGHV1-24	36	10	166	2856	896	483
IGHV1-3	6	2	29	238	96	146
IGHV1-45	0	0	9	2	1	0
IGHV1-46	18	6	60	418	109	196
IGHV1-58	1	7	23	132	30	120
IGHV1-69	53	36	554	1901	761	2045
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	8	2	78	281	171	632
IGHV2-26	0	0	9	1	0	0
IGHV2-5	59	1	50	164	107	62
IGHV2-70	0	0	12	18	0	17
IGHV3-11	28	86	358	1499	325	1077
IGHV3-13	1	22	28	111	27	201
IGHV3-15	51	30	177	1332	202	1114
IGHV3-20	2	3	103	64	35	87
IGHV3-21	76	94	1037	2712	456	2163
IGHV3-23	282	123	1857	4426	774	2844
IGHV3-30	171	53	1275	4592	972	4216
IGHV3-30-3	5	3	68	148	72	64
IGHV3-33	34	39	468	1690	243	1051
IGHV3-43	6	0	4	70	3	63
IGHV3-47	0	0	0	0	0	0
IGHV3-48	67	42	511	2114	642	1606
IGHV3-49	10	5	126	547	104	624
IGHV3-52	0	0	0	3	0	0
IGHV3-53	21	41	390	535	116	524
IGHV3-64	1	0	21	69	17	83
IGHV3-66	0	1	16	48	6	39
IGHV3-7	48	50	359	1955	462	1843
IGHV3-71	0	0	0	3	0	1
IGHV3-72	4	30	20	74	27	58
IGHV3-73	22	3	83	326	37	187
IGHV3-74	13	33	206	677	185	554
IGHV3-9	68	46	225	610	103	989
IGHV4-28	0	0	1	0	1	0
IGHV4-30-2	7	16	188	233	101	56
IGHV4-30-4	1	1	8	30	10	7
IGHV4-31	15	35	123	281	160	359
IGHV4-34	30	266	193	1340	870	1295
IGHV4-38-2	14	2	67	326	170	181
IGHV4-39	13	22	110	1017	544	400
IGHV4-4	34	20	85	667	274	467
IGHV4-55	0	0	0	0	0	0
IGHV4-59	25	97	302	1486	897	1498
IGHV4-61	18	10	70	449	200	592
IGHV5-10-1	1	3	35	76	58	144
IGHV5-51	25	18	364	928	330	885
IGHV6-1	1	4	73	230	128	233
IGHV7-4-1	18	1	44	297	76	177
