	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	278	13	336	2104	1020	1752
IGHV1-2	121	47	529	2257	781	1220
IGHV1-24	48	13	171	2748	852	490
IGHV1-3	3	5	33	228	104	122
IGHV1-45	0	0	3	4	1	0
IGHV1-46	17	9	53	446	102	201
IGHV1-58	0	8	25	101	30	145
IGHV1-69	60	28	587	1847	741	2134
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	16	4	92	278	169	629
IGHV2-26	0	0	6	0	0	0
IGHV2-5	63	1	57	169	101	82
IGHV2-70	0	1	6	18	5	18
IGHV3-11	34	89	331	1468	312	1021
IGHV3-13	5	21	40	102	24	195
IGHV3-15	85	32	189	1262	183	1131
IGHV3-20	2	3	118	71	30	89
IGHV3-21	66	96	1032	2621	467	2123
IGHV3-23	276	119	1889	4445	849	2797
IGHV3-30	191	48	1230	4642	1013	4208
IGHV3-30-3	3	1	45	147	62	81
IGHV3-33	28	38	428	1610	230	1016
IGHV3-43	5	0	5	71	4	84
IGHV3-47	0	0	0	0	0	0
IGHV3-48	77	51	494	2096	709	1584
IGHV3-49	12	5	128	557	84	616
IGHV3-52	0	0	0	3	0	0
IGHV3-53	18	36	389	496	126	518
IGHV3-64	3	0	28	77	8	73
IGHV3-66	3	3	23	63	10	37
IGHV3-7	49	54	362	2030	467	1842
IGHV3-71	0	0	0	1	1	2
IGHV3-72	3	28	17	78	38	48
IGHV3-73	21	5	75	383	52	194
IGHV3-74	12	36	190	671	131	600
IGHV3-9	80	51	199	670	118	962
IGHV4-28	0	0	0	1	0	1
IGHV4-30-2	5	17	177	247	118	57
IGHV4-30-4	1	2	7	24	10	9
IGHV4-31	5	40	138	324	202	277
IGHV4-34	38	260	197	1309	857	1254
IGHV4-38-2	11	3	87	331	149	184
IGHV4-39	27	21	134	1064	482	458
IGHV4-4	33	19	89	628	252	447
IGHV4-55	0	0	0	0	0	0
IGHV4-59	25	92	295	1550	918	1542
IGHV4-61	19	14	63	465	205	576
IGHV5-10-1	1	3	23	93	46	135
IGHV5-51	32	12	371	926	323	870
IGHV6-1	3	3	55	235	118	217
IGHV7-4-1	15	2	43	314	73	191
