	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	78	27	722	2327	555	1134
IGHV1-2	71	27	548	1716	465	806
IGHV1-24	16	4	228	608	107	399
IGHV1-3	9	0	70	207	47	111
IGHV1-45	0	0	0	0	0	1
IGHV1-46	19	3	160	334	45	236
IGHV1-58	10	6	46	98	17	110
IGHV1-69	69	43	836	1429	511	1565
IGHV1-69-2	0	0	0	1	0	0
IGHV1-8	10	7	216	384	229	541
IGHV2-26	0	0	0	0	0	2
IGHV2-5	8	4	71	329	130	27
IGHV2-70	0	0	5	19	8	15
IGHV3-11	40	63	552	1468	245	714
IGHV3-13	4	7	94	147	49	94
IGHV3-15	53	14	690	1699	307	698
IGHV3-20	0	1	4	10	1	6
IGHV3-21	91	63	1211	2522	427	1054
IGHV3-23	361	186	2385	8454	1275	2060
IGHV3-30	176	46	613	2995	359	1527
IGHV3-30-3	142	87	1480	4316	449	1719
IGHV3-33	52	22	654	2086	210	804
IGHV3-43	1	1	51	253	23	91
IGHV3-47	0	0	0	0	0	0
IGHV3-48	78	75	830	2062	465	1009
IGHV3-49	17	4	224	563	44	223
IGHV3-52	0	0	0	1	0	0
IGHV3-53	34	42	589	1285	162	692
IGHV3-64	1	5	42	52	5	23
IGHV3-66	2	1	17	41	2	12
IGHV3-7	53	90	944	2919	493	1071
IGHV3-71	0	0	0	0	0	2
IGHV3-72	1	3	51	161	9	45
IGHV3-73	12	3	52	130	48	59
IGHV3-74	22	14	246	879	201	405
IGHV3-9	12	46	350	746	99	357
IGHV4-28	0	2	3	0	5	3
IGHV4-30-2	8	4	105	219	87	66
IGHV4-30-4	10	7	85	332	111	155
IGHV4-31	45	31	350	813	286	306
IGHV4-34	31	35	150	671	301	518
IGHV4-38-2	1	0	12	42	8	7
IGHV4-39	43	35	552	1589	680	567
IGHV4-4	11	31	260	617	315	425
IGHV4-55	0	0	0	0	0	0
IGHV4-59	24	88	584	1296	671	985
IGHV4-61	13	13	226	471	235	278
IGHV5-10-1	5	2	81	104	47	139
IGHV5-51	39	11	848	1006	272	503
IGHV6-1	2	0	182	369	143	263
IGHV7-4-1	0	0	2	0	3	4
