	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	4	9	69	263	115	140
IGHV1-2	1	0	34	67	17	75
IGHV1-24	7	2	19	61	17	23
IGHV1-3	7	1	20	113	39	56
IGHV1-45	0	0	2	2	0	0
IGHV1-46	1	1	23	115	33	61
IGHV1-58	0	0	4	23	5	17
IGHV1-69	5	7	59	219	89	184
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	3	2	19	68	46	83
IGHV2-26	1	0	3	20	6	7
IGHV2-5	4	1	15	101	44	17
IGHV2-70	1	0	4	19	6	17
IGHV3-11	2	7	27	90	28	78
IGHV3-13	0	2	10	24	4	44
IGHV3-15	12	1	30	163	21	98
IGHV3-20	0	0	4	13	5	9
IGHV3-21	3	3	44	199	48	110
IGHV3-23	40	20	166	1017	170	343
IGHV3-30	10	8	54	310	40	215
IGHV3-30-3	5	5	25	194	26	110
IGHV3-33	7	2	50	267	34	160
IGHV3-43	0	0	3	16	2	6
IGHV3-47	0	0	0	0	0	0
IGHV3-48	2	1	15	87	17	43
IGHV3-49	0	0	4	14	1	12
IGHV3-52	0	0	0	0	0	0
IGHV3-53	1	2	8	28	1	16
IGHV3-64	0	0	7	16	3	9
IGHV3-66	0	2	13	32	3	19
IGHV3-7	4	3	16	63	10	37
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	1	10	1	3
IGHV3-73	0	0	2	20	2	8
IGHV3-74	3	1	7	58	14	30
IGHV3-9	1	4	23	44	9	15
IGHV4-28	0	0	0	1	0	1
IGHV4-30-2	0	0	4	18	12	8
IGHV4-30-4	0	0	5	37	15	20
IGHV4-31	1	4	32	135	72	58
IGHV4-34	1	2	33	206	88	114
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	5	13	37	190	82	91
IGHV4-4	2	0	8	43	24	21
IGHV4-55	0	0	0	0	0	0
IGHV4-59	4	6	61	220	99	137
IGHV4-61	0	1	8	23	9	11
IGHV5-10-1	0	0	2	14	5	20
IGHV5-51	4	7	34	102	30	114
IGHV6-1	0	0	7	30	13	29
IGHV7-4-1	0	0	0	0	0	1
