	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	11	2	62	260	91	123
IGHV1-2	6	1	34	58	22	92
IGHV1-24	3	1	16	68	17	38
IGHV1-3	3	2	20	109	42	61
IGHV1-45	0	0	0	0	1	0
IGHV1-46	3	4	22	93	22	63
IGHV1-58	0	0	4	11	3	18
IGHV1-69	6	5	41	202	72	159
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	2	1	28	75	30	95
IGHV2-26	0	0	4	9	6	15
IGHV2-5	1	3	18	90	36	19
IGHV2-70	0	0	1	30	4	18
IGHV3-11	1	3	30	105	21	84
IGHV3-13	0	2	10	21	3	28
IGHV3-15	3	1	33	157	18	84
IGHV3-20	0	1	4	16	8	13
IGHV3-21	3	5	38	175	42	103
IGHV3-23	39	22	170	1094	186	358
IGHV3-30	11	8	43	343	30	183
IGHV3-30-3	0	1	26	179	25	101
IGHV3-33	3	9	50	257	40	177
IGHV3-43	0	0	1	17	1	7
IGHV3-47	0	0	0	1	0	0
IGHV3-48	5	7	17	91	14	59
IGHV3-49	0	0	4	27	6	10
IGHV3-52	0	0	0	0	0	0
IGHV3-53	1	1	8	34	9	27
IGHV3-64	0	0	2	21	4	14
IGHV3-66	2	1	15	38	11	20
IGHV3-7	4	4	13	77	15	24
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	1	16	1	2
IGHV3-73	0	0	3	13	5	7
IGHV3-74	0	1	15	39	10	37
IGHV3-9	2	3	32	60	13	21
IGHV4-28	0	0	0	2	0	1
IGHV4-30-2	0	1	6	26	15	10
IGHV4-30-4	0	2	2	44	15	15
IGHV4-31	3	4	33	136	67	86
IGHV4-34	8	4	30	207	83	109
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	5	14	38	197	124	89
IGHV4-4	4	0	12	42	22	25
IGHV4-55	0	0	0	0	0	0
IGHV4-59	1	3	55	205	92	129
IGHV4-61	1	0	5	25	15	16
IGHV5-10-1	1	0	5	12	2	24
IGHV5-51	0	6	28	88	25	92
IGHV6-1	1	0	12	17	16	22
IGHV7-4-1	0	0	0	1	0	3
