	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	78	30	711	2332	568	1048
IGHV1-2	51	24	567	1776	503	817
IGHV1-24	17	9	238	620	132	390
IGHV1-3	10	0	76	177	52	113
IGHV1-45	0	0	0	0	0	0
IGHV1-46	16	5	146	388	56	208
IGHV1-58	3	5	67	92	18	104
IGHV1-69	65	37	767	1484	542	1591
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	14	10	226	381	219	554
IGHV2-26	0	0	0	0	0	1
IGHV2-5	8	1	77	302	108	27
IGHV2-70	0	1	11	21	6	5
IGHV3-11	32	70	599	1365	234	686
IGHV3-13	7	6	85	155	24	82
IGHV3-15	51	14	669	1616	297	677
IGHV3-20	0	1	2	8	2	6
IGHV3-21	95	79	1162	2539	405	1098
IGHV3-23	407	186	2305	8468	1327	1985
IGHV3-30	176	43	636	2974	379	1610
IGHV3-30-3	166	84	1376	4310	485	1685
IGHV3-33	69	17	596	2158	241	832
IGHV3-43	2	1	29	233	35	103
IGHV3-47	0	0	0	0	0	0
IGHV3-48	82	48	787	2119	487	1012
IGHV3-49	10	6	219	506	55	225
IGHV3-52	0	0	0	5	0	3
IGHV3-53	25	54	624	1205	149	685
IGHV3-64	1	9	33	45	7	16
IGHV3-66	0	4	14	53	3	14
IGHV3-7	52	88	890	2915	506	1081
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	5	34	142	9	43
IGHV3-73	8	1	58	127	45	78
IGHV3-74	21	12	259	881	230	418
IGHV3-9	15	50	376	736	114	388
IGHV4-28	0	2	1	0	3	5
IGHV4-30-2	11	6	106	231	93	58
IGHV4-30-4	14	5	84	391	89	151
IGHV4-31	35	24	356	798	297	321
IGHV4-34	26	37	166	660	318	571
IGHV4-38-2	3	1	14	52	11	12
IGHV4-39	42	25	509	1611	659	561
IGHV4-4	14	27	246	635	311	368
IGHV4-55	0	0	0	0	0	0
IGHV4-59	20	70	581	1338	660	1033
IGHV4-61	17	28	193	508	233	270
IGHV5-10-1	8	5	90	112	30	147
IGHV5-51	43	22	837	1051	284	490
IGHV6-1	3	1	195	349	158	275
IGHV7-4-1	0	0	3	1	6	3
