	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	10	3	72	250	108	167
IGHV1-2	2	2	23	62	22	86
IGHV1-24	1	3	14	65	18	28
IGHV1-3	1	5	28	94	34	54
IGHV1-45	0	0	1	0	0	0
IGHV1-46	3	3	30	114	27	65
IGHV1-58	0	0	6	22	2	22
IGHV1-69	11	7	53	191	73	159
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	1	2	30	70	42	68
IGHV2-26	0	1	1	11	8	11
IGHV2-5	3	1	16	84	35	18
IGHV2-70	0	0	3	32	8	24
IGHV3-11	1	3	35	111	32	84
IGHV3-13	0	4	14	34	7	23
IGHV3-15	10	1	36	175	13	106
IGHV3-20	0	1	6	14	8	5
IGHV3-21	4	5	50	198	41	109
IGHV3-23	20	17	168	973	163	387
IGHV3-30	19	6	46	322	43	204
IGHV3-30-3	6	2	20	155	22	101
IGHV3-33	6	10	56	238	33	198
IGHV3-43	0	1	4	15	0	8
IGHV3-47	0	0	0	0	0	0
IGHV3-48	3	4	17	83	18	46
IGHV3-49	0	0	6	19	9	7
IGHV3-52	0	0	0	0	0	0
IGHV3-53	1	4	8	29	5	16
IGHV3-64	0	0	7	19	3	12
IGHV3-66	0	1	9	29	8	24
IGHV3-7	3	2	16	68	16	18
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	0	2	8	0	5
IGHV3-73	0	0	1	15	3	8
IGHV3-74	1	1	18	54	11	27
IGHV3-9	1	2	14	58	19	19
IGHV4-28	0	0	0	0	0	0
IGHV4-30-2	1	0	5	24	20	14
IGHV4-30-4	0	0	5	28	17	18
IGHV4-31	3	7	42	144	67	73
IGHV4-34	10	5	25	199	77	116
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	12	14	38	227	74	88
IGHV4-4	0	4	8	50	19	24
IGHV4-55	0	0	0	0	0	0
IGHV4-59	6	8	41	226	110	135
IGHV4-61	2	2	5	30	12	13
IGHV5-10-1	0	0	7	17	5	23
IGHV5-51	1	2	39	94	31	97
IGHV6-1	0	0	12	20	18	22
IGHV7-4-1	0	0	0	0	2	1
