	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	135	19	436	2719	730	1305
IGHV1-2	129	70	408	2495	728	1241
IGHV1-24	18	5	147	600	94	211
IGHV1-3	24	1	27	335	78	120
IGHV1-45	0	0	1	0	0	0
IGHV1-46	29	10	121	738	192	303
IGHV1-58	6	1	363	127	13	165
IGHV1-69	85	18	370	1478	575	1131
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	59	111	214	1042	299	945
IGHV2-26	0	0	1	4	0	0
IGHV2-5	15	4	123	626	208	45
IGHV2-70	2	0	9	39	12	19
IGHV3-11	82	62	412	1941	316	776
IGHV3-13	3	109	315	225	48	171
IGHV3-15	33	86	275	1430	207	972
IGHV3-20	18	4	75	582	60	162
IGHV3-21	69	38	588	2454	463	1331
IGHV3-23	188	99	885	4101	632	1100
IGHV3-30	229	50	675	4537	581	2453
IGHV3-30-3	88	46	556	3058	411	1346
IGHV3-33	23	6	275	783	116	382
IGHV3-43	21	0	28	288	12	185
IGHV3-47	0	0	0	0	0	0
IGHV3-48	98	68	397	1898	265	963
IGHV3-49	9	2	146	511	186	175
IGHV3-52	0	0	0	4	0	1
IGHV3-53	31	49	284	1106	156	606
IGHV3-64	0	1	4	15	0	9
IGHV3-66	1	0	5	52	3	20
IGHV3-7	100	144	735	3017	452	1403
IGHV3-71	0	0	1	0	0	1
IGHV3-72	11	0	13	87	8	26
IGHV3-73	2	10	31	213	28	147
IGHV3-74	26	23	152	1000	188	336
IGHV3-9	108	52	741	1683	399	1083
IGHV4-28	0	3	19	1	0	0
IGHV4-30-2	3	9	56	236	106	41
IGHV4-30-4	18	24	153	969	390	253
IGHV4-31	7	18	81	304	210	116
IGHV4-34	58	94	192	2010	539	750
IGHV4-38-2	52	13	97	593	274	129
IGHV4-39	130	126	401	2232	922	660
IGHV4-4	21	10	139	808	346	375
IGHV4-55	0	0	0	0	0	0
IGHV4-59	74	33	305	1198	563	481
IGHV4-61	15	9	111	571	226	223
IGHV5-10-1	0	0	1	4	0	2
IGHV5-51	21	46	663	1102	340	466
IGHV6-1	11	39	244	557	177	290
IGHV7-4-1	32	7	65	421	151	240
