	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	60	26	779	2371	566	1076
IGHV1-2	55	29	599	1715	526	782
IGHV1-24	19	12	256	586	123	402
IGHV1-3	6	0	80	188	50	104
IGHV1-45	0	0	0	0	0	0
IGHV1-46	19	4	180	397	67	184
IGHV1-58	12	6	53	73	25	114
IGHV1-69	75	30	743	1470	542	1592
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	11	10	199	398	226	520
IGHV2-26	0	0	0	0	0	7
IGHV2-5	6	2	68	289	129	28
IGHV2-70	0	0	11	23	10	7
IGHV3-11	52	55	584	1434	244	670
IGHV3-13	2	9	84	157	48	96
IGHV3-15	42	18	685	1677	282	637
IGHV3-20	0	1	5	8	2	5
IGHV3-21	88	55	1183	2504	430	1133
IGHV3-23	366	185	2429	8337	1276	2080
IGHV3-30	174	43	626	3065	378	1618
IGHV3-30-3	154	85	1396	4347	489	1732
IGHV3-33	59	17	545	2164	182	839
IGHV3-43	5	1	47	214	18	100
IGHV3-47	0	0	0	0	0	0
IGHV3-48	87	81	829	2092	451	1006
IGHV3-49	10	5	221	554	57	231
IGHV3-52	0	0	0	1	0	3
IGHV3-53	39	55	612	1218	152	658
IGHV3-64	1	10	32	38	2	24
IGHV3-66	1	2	20	46	4	9
IGHV3-7	71	93	852	2851	511	1117
IGHV3-71	0	0	0	0	0	0
IGHV3-72	2	1	38	173	9	41
IGHV3-73	10	1	54	137	47	65
IGHV3-74	22	13	253	975	240	428
IGHV3-9	9	42	352	730	96	371
IGHV4-28	0	7	4	0	1	5
IGHV4-30-2	4	11	99	200	97	59
IGHV4-30-4	21	10	83	324	101	151
IGHV4-31	44	17	381	811	286	297
IGHV4-34	29	43	155	708	273	590
IGHV4-38-2	4	0	11	42	15	14
IGHV4-39	37	30	465	1660	719	518
IGHV4-4	19	34	206	628	329	387
IGHV4-55	0	0	0	0	0	0
IGHV4-59	30	87	567	1443	659	917
IGHV4-61	16	37	216	480	218	253
IGHV5-10-1	7	3	74	78	36	109
IGHV5-51	40	19	816	998	302	464
IGHV6-1	2	0	181	372	140	243
IGHV7-4-1	0	0	1	0	3	4
