	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	91	21	335	1473	467	1006
IGHV1-2	47	22	269	1945	477	1023
IGHV1-24	14	10	165	453	87	212
IGHV1-3	3	0	12	342	75	55
IGHV1-45	0	0	0	1	1	0
IGHV1-46	24	4	105	609	63	353
IGHV1-58	2	1	8	21	12	43
IGHV1-69	48	25	319	769	280	975
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	15	14	127	335	236	869
IGHV2-26	0	0	0	0	0	0
IGHV2-5	20	12	66	505	126	219
IGHV2-70	1	1	2	46	8	33
IGHV3-11	25	96	227	1164	202	459
IGHV3-13	14	79	59	164	61	81
IGHV3-15	72	65	273	2472	224	754
IGHV3-20	2	0	57	93	9	37
IGHV3-21	63	25	334	1726	249	950
IGHV3-23	331	204	1335	7112	1174	1806
IGHV3-30	320	82	643	4280	822	2533
IGHV3-30-3	502	53	557	3222	641	1662
IGHV3-33	71	35	414	3484	521	1183
IGHV3-43	5	0	14	139	9	37
IGHV3-47	0	0	0	0	0	0
IGHV3-48	49	61	405	1833	314	858
IGHV3-49	12	5	64	514	119	181
IGHV3-52	2	0	0	2	0	0
IGHV3-53	27	45	226	757	144	704
IGHV3-64	0	4	78	148	22	76
IGHV3-66	32	72	134	805	93	530
IGHV3-7	124	86	777	3288	561	1274
IGHV3-71	0	0	0	0	0	0
IGHV3-72	2	6	42	93	7	56
IGHV3-73	24	4	51	315	81	114
IGHV3-74	37	35	199	989	293	618
IGHV3-9	63	40	736	1059	171	564
IGHV4-28	0	0	1	1	1	0
IGHV4-30-2	5	1	97	189	88	66
IGHV4-30-4	14	36	163	713	427	165
IGHV4-31	20	16	129	952	263	422
IGHV4-34	84	42	104	836	240	475
IGHV4-38-2	0	0	8	12	8	5
IGHV4-39	85	377	383	1667	731	551
IGHV4-4	27	34	174	916	284	408
IGHV4-55	0	0	0	1	0	0
IGHV4-59	70	102	664	2805	974	920
IGHV4-61	36	55	115	449	270	328
IGHV5-10-1	0	0	0	2	1	2
IGHV5-51	22	60	386	1514	247	632
IGHV6-1	11	31	125	364	94	334
IGHV7-4-1	0	0	1	5	4	2
