	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	7	7	43	194	69	169
IGHV1-2	3	2	37	154	57	152
IGHV1-24	0	3	5	30	12	17
IGHV1-3	4	3	12	74	34	43
IGHV1-45	0	0	0	2	0	1
IGHV1-46	4	2	17	91	39	77
IGHV1-58	1	0	3	25	5	23
IGHV1-69	15	12	88	298	143	363
IGHV1-69-2	0	1	1	1	0	1
IGHV1-8	2	1	11	50	30	66
IGHV2-26	0	0	1	11	16	16
IGHV2-5	4	2	8	71	27	16
IGHV2-70	1	0	5	22	5	24
IGHV3-11	3	1	22	96	28	51
IGHV3-13	0	3	3	9	2	16
IGHV3-15	2	0	12	79	17	41
IGHV3-20	0	0	0	0	0	0
IGHV3-21	5	6	36	150	36	136
IGHV3-23	22	19	106	560	125	246
IGHV3-30	7	7	39	245	39	194
IGHV3-30-3	4	3	37	172	41	134
IGHV3-33	3	2	22	139	19	109
IGHV3-43	0	0	0	15	2	9
IGHV3-47	0	0	0	0	0	0
IGHV3-48	1	1	39	150	39	93
IGHV3-49	0	0	2	27	3	20
IGHV3-52	0	0	0	0	0	0
IGHV3-53	2	4	22	68	21	66
IGHV3-64	0	0	4	31	3	8
IGHV3-66	0	0	1	6	2	4
IGHV3-7	3	1	19	122	34	73
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	4	19	2	7
IGHV3-73	2	1	3	20	3	17
IGHV3-74	0	1	8	74	18	52
IGHV3-9	2	4	13	70	13	55
IGHV4-28	0	0	1	0	1	1
IGHV4-30-2	2	0	12	50	31	14
IGHV4-30-4	2	2	19	95	53	58
IGHV4-31	3	6	25	128	68	72
IGHV4-34	7	8	24	177	71	142
IGHV4-38-2	0	0	5	31	31	18
IGHV4-39	3	6	20	115	73	70
IGHV4-4	2	7	21	108	60	85
IGHV4-55	0	0	0	0	1	0
IGHV4-59	3	9	32	140	98	120
IGHV4-61	0	1	10	61	35	28
IGHV5-10-1	0	3	17	53	20	99
IGHV5-51	3	3	39	128	51	136
IGHV6-1	0	0	8	37	23	48
IGHV7-4-1	0	0	0	1	1	0
