	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	81	29	321	1551	460	924
IGHV1-2	59	19	283	1965	416	963
IGHV1-24	21	9	186	438	88	218
IGHV1-3	4	2	18	330	69	59
IGHV1-45	0	0	2	2	1	0
IGHV1-46	24	2	91	654	83	357
IGHV1-58	2	0	7	19	13	64
IGHV1-69	46	28	282	774	289	895
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	12	5	106	307	231	886
IGHV2-26	0	0	0	0	0	0
IGHV2-5	31	18	70	508	135	230
IGHV2-70	0	0	7	53	7	36
IGHV3-11	46	72	264	1194	181	425
IGHV3-13	15	107	48	152	51	87
IGHV3-15	76	56	272	2474	191	766
IGHV3-20	0	0	60	84	8	33
IGHV3-21	54	40	363	1722	235	952
IGHV3-23	285	194	1328	7106	1165	1861
IGHV3-30	318	68	622	4190	756	2412
IGHV3-30-3	430	57	547	3184	681	1712
IGHV3-33	86	61	426	3404	555	1177
IGHV3-43	5	1	13	158	10	51
IGHV3-47	0	0	0	0	0	0
IGHV3-48	54	39	394	1936	319	795
IGHV3-49	17	6	72	464	115	183
IGHV3-52	0	0	0	1	0	0
IGHV3-53	41	35	206	785	130	744
IGHV3-64	0	5	78	147	17	114
IGHV3-66	29	63	165	797	85	531
IGHV3-7	122	82	791	3238	560	1315
IGHV3-71	0	0	0	0	0	0
IGHV3-72	2	4	27	102	0	65
IGHV3-73	21	3	56	340	56	129
IGHV3-74	36	17	214	965	255	610
IGHV3-9	64	32	747	986	129	565
IGHV4-28	0	0	0	0	1	0
IGHV4-30-2	7	0	101	179	94	53
IGHV4-30-4	12	24	214	717	434	182
IGHV4-31	21	27	140	863	279	434
IGHV4-34	92	49	100	890	232	440
IGHV4-38-2	1	0	9	18	6	10
IGHV4-39	71	421	418	1791	734	515
IGHV4-4	20	32	178	892	286	387
IGHV4-55	0	0	0	0	0	0
IGHV4-59	74	106	639	2832	1016	991
IGHV4-61	34	71	129	486	248	377
IGHV5-10-1	0	0	0	6	4	2
IGHV5-51	24	70	379	1677	279	621
IGHV6-1	14	28	114	341	101	366
IGHV7-4-1	0	0	1	9	2	4
