	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	112	21	482	2757	675	1308
IGHV1-2	140	93	409	2556	748	1102
IGHV1-24	19	7	147	593	91	204
IGHV1-3	14	1	42	290	75	128
IGHV1-45	0	0	1	1	0	0
IGHV1-46	40	8	114	749	175	301
IGHV1-58	12	2	380	120	24	130
IGHV1-69	74	14	371	1551	602	1104
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	45	113	198	1074	290	926
IGHV2-26	0	0	0	5	1	0
IGHV2-5	16	9	123	629	211	53
IGHV2-70	0	0	4	49	17	24
IGHV3-11	85	55	418	1946	302	792
IGHV3-13	13	105	317	219	55	197
IGHV3-15	41	90	272	1438	212	983
IGHV3-20	27	7	78	615	42	163
IGHV3-21	76	54	614	2541	481	1319
IGHV3-23	181	76	864	4070	610	1081
IGHV3-30	222	54	695	4681	568	2344
IGHV3-30-3	82	47	542	2992	380	1450
IGHV3-33	24	4	282	788	97	371
IGHV3-43	19	0	29	275	21	193
IGHV3-47	0	0	0	0	0	0
IGHV3-48	103	73	365	1912	266	948
IGHV3-49	13	4	151	521	182	184
IGHV3-52	0	0	0	6	0	0
IGHV3-53	38	65	300	1155	139	657
IGHV3-64	0	0	5	27	0	12
IGHV3-66	1	0	7	58	9	22
IGHV3-7	75	129	659	2942	445	1447
IGHV3-71	0	0	2	0	2	1
IGHV3-72	7	1	10	102	6	20
IGHV3-73	4	12	32	266	29	161
IGHV3-74	26	21	169	986	201	351
IGHV3-9	100	61	643	1580	426	1007
IGHV4-28	0	0	24	0	1	1
IGHV4-30-2	0	9	59	248	90	42
IGHV4-30-4	17	25	145	1004	444	220
IGHV4-31	4	26	59	316	204	115
IGHV4-34	60	95	187	2060	533	753
IGHV4-38-2	40	15	101	564	239	136
IGHV4-39	135	137	354	2279	962	624
IGHV4-4	17	11	131	812	331	368
IGHV4-55	0	0	0	0	0	0
IGHV4-59	89	33	302	1143	527	495
IGHV4-61	19	6	103	626	214	252
IGHV5-10-1	0	0	1	4	1	3
IGHV5-51	32	52	644	1085	342	462
IGHV6-1	8	28	262	545	165	286
IGHV7-4-1	29	6	79	424	173	244
