	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	7	8	37	227	75	154
IGHV1-2	4	1	43	157	66	154
IGHV1-24	1	1	7	24	15	16
IGHV1-3	3	1	10	59	22	54
IGHV1-45	0	0	1	1	0	0
IGHV1-46	6	3	20	90	36	93
IGHV1-58	0	0	6	24	2	22
IGHV1-69	11	14	72	303	143	390
IGHV1-69-2	0	0	1	1	1	2
IGHV1-8	6	0	12	50	34	54
IGHV2-26	0	1	2	11	7	12
IGHV2-5	1	0	13	66	26	17
IGHV2-70	0	1	1	29	8	14
IGHV3-11	2	1	14	87	24	65
IGHV3-13	0	3	3	7	2	21
IGHV3-15	1	1	12	61	19	42
IGHV3-20	0	0	1	0	0	0
IGHV3-21	4	7	45	178	30	136
IGHV3-23	15	19	93	589	121	245
IGHV3-30	3	4	31	253	44	181
IGHV3-30-3	4	5	28	176	26	128
IGHV3-33	0	5	23	129	31	101
IGHV3-43	1	0	1	11	3	9
IGHV3-47	0	0	0	0	0	0
IGHV3-48	3	7	33	158	47	91
IGHV3-49	2	1	4	29	6	19
IGHV3-52	0	0	0	0	0	0
IGHV3-53	6	2	17	77	10	39
IGHV3-64	3	1	5	26	10	10
IGHV3-66	0	0	3	6	2	6
IGHV3-7	3	4	24	133	35	79
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	0	1	20	2	13
IGHV3-73	1	1	2	13	7	12
IGHV3-74	1	3	13	72	15	44
IGHV3-9	2	4	16	64	20	55
IGHV4-28	0	1	1	2	1	1
IGHV4-30-2	0	0	8	39	23	18
IGHV4-30-4	1	3	21	77	58	59
IGHV4-31	3	3	34	121	77	74
IGHV4-34	5	4	19	125	82	165
IGHV4-38-2	1	0	4	46	25	18
IGHV4-39	1	4	19	131	84	75
IGHV4-4	5	4	24	99	51	88
IGHV4-55	0	0	0	0	0	0
IGHV4-59	4	5	21	151	87	115
IGHV4-61	4	2	12	64	32	52
IGHV5-10-1	0	1	18	35	28	82
IGHV5-51	6	1	47	142	49	142
IGHV6-1	0	0	12	37	19	44
IGHV7-4-1	0	0	1	1	1	0
