	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	9	2	62	245	84	131
IGHV1-2	2	2	22	67	37	92
IGHV1-24	1	0	11	62	23	29
IGHV1-3	7	2	24	106	49	65
IGHV1-45	0	0	1	1	0	1
IGHV1-46	4	2	25	109	27	77
IGHV1-58	0	1	9	21	8	16
IGHV1-69	8	4	49	206	75	174
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	3	1	30	67	51	74
IGHV2-26	0	3	6	17	4	10
IGHV2-5	4	0	18	97	53	9
IGHV2-70	0	0	5	28	5	26
IGHV3-11	3	2	32	116	31	66
IGHV3-13	0	2	11	22	9	20
IGHV3-15	3	0	26	154	8	93
IGHV3-20	0	1	9	17	0	13
IGHV3-21	7	3	48	189	44	100
IGHV3-23	43	17	154	1013	187	369
IGHV3-30	9	5	53	311	46	209
IGHV3-30-3	2	3	17	166	23	114
IGHV3-33	5	8	60	230	45	191
IGHV3-43	0	0	1	14	1	7
IGHV3-47	1	0	0	0	0	0
IGHV3-48	6	0	13	67	24	46
IGHV3-49	1	0	1	16	9	4
IGHV3-52	0	0	0	0	0	0
IGHV3-53	1	2	7	19	6	14
IGHV3-64	2	0	3	20	2	10
IGHV3-66	0	1	9	23	5	19
IGHV3-7	0	2	20	78	15	43
IGHV3-71	0	0	0	1	0	0
IGHV3-72	0	0	4	17	0	5
IGHV3-73	0	0	1	22	4	12
IGHV3-74	3	1	18	56	15	28
IGHV3-9	0	2	18	70	12	22
IGHV4-28	0	0	1	2	0	2
IGHV4-30-2	2	1	6	25	12	8
IGHV4-30-4	2	2	3	38	15	19
IGHV4-31	3	9	36	133	67	68
IGHV4-34	5	6	25	177	88	136
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	5	9	61	206	106	84
IGHV4-4	0	0	7	48	21	27
IGHV4-55	0	0	0	0	0	0
IGHV4-59	4	8	51	207	89	131
IGHV4-61	0	0	4	28	9	15
IGHV5-10-1	0	1	2	14	9	26
IGHV5-51	2	4	41	93	28	97
IGHV6-1	1	0	11	21	13	31
IGHV7-4-1	0	0	0	0	0	0
