	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	1	2	38	190	83	162
IGHV1-2	3	1	31	141	74	139
IGHV1-24	1	1	11	38	15	21
IGHV1-3	3	1	12	71	30	57
IGHV1-45	0	0	1	0	0	1
IGHV1-46	1	1	22	107	34	69
IGHV1-58	1	0	10	18	8	24
IGHV1-69	10	16	67	300	134	331
IGHV1-69-2	0	0	1	1	1	2
IGHV1-8	1	2	17	40	36	51
IGHV2-26	0	0	1	20	16	11
IGHV2-5	1	0	4	51	23	10
IGHV2-70	0	0	6	20	5	19
IGHV3-11	3	5	20	110	29	58
IGHV3-13	0	2	8	12	7	17
IGHV3-15	1	2	15	78	13	38
IGHV3-20	0	0	0	0	0	0
IGHV3-21	3	10	38	157	36	129
IGHV3-23	17	9	76	597	142	238
IGHV3-30	9	3	33	263	34	196
IGHV3-30-3	4	1	40	174	37	128
IGHV3-33	2	1	27	147	33	110
IGHV3-43	1	0	0	5	1	17
IGHV3-47	0	0	0	0	0	0
IGHV3-48	5	4	44	137	33	105
IGHV3-49	0	0	7	26	7	23
IGHV3-52	0	0	0	0	0	0
IGHV3-53	3	0	9	55	12	38
IGHV3-64	0	1	3	30	8	17
IGHV3-66	0	1	2	4	1	2
IGHV3-7	4	2	15	123	29	73
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	0	0	11	5	5
IGHV3-73	0	1	3	15	0	14
IGHV3-74	2	1	19	59	19	57
IGHV3-9	0	1	18	89	15	49
IGHV4-28	0	0	1	5	0	1
IGHV4-30-2	1	1	9	52	31	15
IGHV4-30-4	0	3	23	86	56	60
IGHV4-31	2	3	28	134	71	84
IGHV4-34	7	6	27	167	76	158
IGHV4-38-2	1	0	9	48	13	16
IGHV4-39	0	5	18	130	71	84
IGHV4-4	4	2	22	110	59	74
IGHV4-55	0	0	0	0	0	0
IGHV4-59	3	4	33	172	90	129
IGHV4-61	1	1	10	78	28	36
IGHV5-10-1	0	4	18	56	32	75
IGHV5-51	3	2	54	120	51	153
IGHV6-1	3	2	6	33	13	52
IGHV7-4-1	0	0	0	0	0	3
