	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	4	6	37	214	93	147
IGHV1-2	5	5	37	153	68	137
IGHV1-24	1	0	10	33	14	9
IGHV1-3	1	1	11	80	30	50
IGHV1-45	0	0	0	1	0	0
IGHV1-46	5	1	21	87	28	67
IGHV1-58	1	1	10	23	5	29
IGHV1-69	10	12	68	335	161	329
IGHV1-69-2	0	0	0	1	0	0
IGHV1-8	1	0	9	50	40	72
IGHV2-26	0	1	1	21	10	8
IGHV2-5	3	3	6	72	25	8
IGHV2-70	0	0	2	21	10	18
IGHV3-11	4	8	20	95	34	61
IGHV3-13	0	1	3	12	1	17
IGHV3-15	5	1	11	80	13	53
IGHV3-20	0	0	0	0	0	0
IGHV3-21	6	4	25	166	46	122
IGHV3-23	16	14	94	578	117	245
IGHV3-30	9	7	44	267	41	221
IGHV3-30-3	1	9	39	170	32	113
IGHV3-33	1	1	25	128	24	99
IGHV3-43	0	0	1	12	2	8
IGHV3-47	0	0	0	0	0	0
IGHV3-48	6	10	38	112	19	109
IGHV3-49	0	0	7	33	10	17
IGHV3-52	0	0	0	0	0	0
IGHV3-53	5	2	15	68	12	51
IGHV3-64	0	1	8	28	8	6
IGHV3-66	1	0	0	5	3	3
IGHV3-7	5	2	16	114	21	94
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	1	12	2	6
IGHV3-73	0	1	2	12	3	14
IGHV3-74	1	0	9	61	13	43
IGHV3-9	2	2	23	67	14	46
IGHV4-28	0	0	0	1	1	0
IGHV4-30-2	0	3	12	35	28	21
IGHV4-30-4	0	3	24	95	46	56
IGHV4-31	3	6	26	145	64	70
IGHV4-34	5	5	31	148	77	121
IGHV4-38-2	1	0	9	38	25	23
IGHV4-39	6	2	20	156	73	87
IGHV4-4	4	8	17	121	75	72
IGHV4-55	0	0	0	0	0	0
IGHV4-59	8	7	43	156	84	129
IGHV4-61	1	2	12	57	35	47
IGHV5-10-1	1	0	11	59	28	110
IGHV5-51	1	0	44	150	44	120
IGHV6-1	0	0	9	32	21	33
IGHV7-4-1	0	0	0	0	0	1
