	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	81	25	774	2310	582	1033
IGHV1-2	66	27	540	1761	502	798
IGHV1-24	15	10	243	618	100	408
IGHV1-3	6	0	72	196	42	111
IGHV1-45	0	0	0	0	0	3
IGHV1-46	13	5	190	367	58	221
IGHV1-58	11	6	50	98	14	96
IGHV1-69	69	34	775	1522	562	1602
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	17	5	182	425	242	517
IGHV2-26	0	0	1	0	0	4
IGHV2-5	5	6	64	281	115	34
IGHV2-70	0	1	12	16	5	8
IGHV3-11	36	48	545	1416	225	697
IGHV3-13	6	11	94	119	52	81
IGHV3-15	53	12	676	1689	295	672
IGHV3-20	0	0	8	11	0	6
IGHV3-21	92	74	1169	2465	454	1075
IGHV3-23	378	185	2440	8549	1210	2086
IGHV3-30	187	38	583	3125	366	1591
IGHV3-30-3	192	92	1356	4411	460	1717
IGHV3-33	61	15	606	2074	243	809
IGHV3-43	2	3	53	206	27	98
IGHV3-47	0	0	0	0	0	0
IGHV3-48	84	59	753	2117	464	970
IGHV3-49	9	7	238	526	60	219
IGHV3-52	0	0	0	2	0	2
IGHV3-53	25	40	642	1172	113	699
IGHV3-64	4	12	35	48	4	22
IGHV3-66	2	3	12	37	4	20
IGHV3-7	74	101	915	2910	476	984
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	3	41	166	10	49
IGHV3-73	5	2	55	125	56	63
IGHV3-74	17	18	236	899	233	399
IGHV3-9	15	37	345	759	95	392
IGHV4-28	0	1	1	1	2	4
IGHV4-30-2	5	3	115	243	93	60
IGHV4-30-4	20	12	83	381	104	159
IGHV4-31	39	22	323	826	322	316
IGHV4-34	33	41	182	658	290	579
IGHV4-38-2	2	3	15	43	18	13
IGHV4-39	34	42	531	1623	673	537
IGHV4-4	24	39	239	587	315	413
IGHV4-55	0	0	0	0	0	0
IGHV4-59	27	73	572	1321	656	956
IGHV4-61	11	32	201	488	241	312
IGHV5-10-1	5	2	94	101	37	131
IGHV5-51	46	18	773	1020	302	476
IGHV6-1	4	0	188	350	142	259
IGHV7-4-1	0	0	3	2	2	1
