	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	305	19	311	2083	1086	1740
IGHV1-2	88	47	549	2177	761	1245
IGHV1-24	57	12	177	2758	876	494
IGHV1-3	7	1	34	225	79	146
IGHV1-45	0	0	10	3	3	0
IGHV1-46	11	8	49	468	98	216
IGHV1-58	1	9	34	127	36	107
IGHV1-69	51	39	584	1917	804	2163
IGHV1-69-2	0	0	0	1	0	0
IGHV1-8	6	5	75	290	158	666
IGHV2-26	0	0	4	1	0	0
IGHV2-5	55	2	52	180	95	66
IGHV2-70	0	0	5	15	6	10
IGHV3-11	41	76	334	1508	306	1076
IGHV3-13	1	20	36	119	29	212
IGHV3-15	69	21	182	1323	177	1129
IGHV3-20	0	1	119	68	51	93
IGHV3-21	69	90	952	2682	432	2140
IGHV3-23	249	134	1884	4408	843	2852
IGHV3-30	181	55	1203	4586	995	4200
IGHV3-30-3	6	4	45	162	59	67
IGHV3-33	31	33	441	1640	212	1029
IGHV3-43	6	0	11	74	7	69
IGHV3-47	0	0	0	0	0	0
IGHV3-48	84	50	538	2059	656	1559
IGHV3-49	10	2	106	531	102	621
IGHV3-52	0	0	0	2	0	0
IGHV3-53	25	39	366	463	123	520
IGHV3-64	1	3	17	66	10	67
IGHV3-66	2	3	14	55	6	23
IGHV3-7	38	55	358	2016	486	1858
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	32	19	85	21	54
IGHV3-73	18	6	61	328	32	202
IGHV3-74	12	32	186	643	143	581
IGHV3-9	82	58	222	643	142	964
IGHV4-28	0	1	0	0	1	0
IGHV4-30-2	2	16	139	216	69	54
IGHV4-30-4	0	1	6	31	9	12
IGHV4-31	14	35	138	260	181	317
IGHV4-34	35	270	195	1328	856	1338
IGHV4-38-2	6	5	78	343	175	173
IGHV4-39	23	20	132	1012	543	396
IGHV4-4	18	15	108	579	293	450
IGHV4-55	0	0	0	0	0	0
IGHV4-59	11	101	329	1577	965	1544
IGHV4-61	15	7	43	486	175	592
IGHV5-10-1	0	1	20	85	46	162
IGHV5-51	38	22	359	957	369	854
IGHV6-1	2	1	68	207	149	234
IGHV7-4-1	19	2	36	310	90	181
