	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	14	9	49	309	92	142
IGHV1-2	0	3	21	56	18	70
IGHV1-24	2	0	9	48	14	20
IGHV1-3	7	4	24	166	57	57
IGHV1-45	0	0	1	0	0	0
IGHV1-46	4	1	21	125	26	64
IGHV1-58	0	2	9	30	9	25
IGHV1-69	12	22	64	320	135	256
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	1	6	22	96	32	56
IGHV2-26	0	2	6	18	10	8
IGHV2-5	6	4	25	201	66	39
IGHV2-70	0	0	8	25	7	26
IGHV3-11	6	3	21	96	20	33
IGHV3-13	0	4	4	19	1	11
IGHV3-15	0	2	13	69	19	43
IGHV3-20	0	0	0	20	0	6
IGHV3-21	3	6	24	92	24	55
IGHV3-23	7	7	73	385	66	101
IGHV3-30	11	9	40	279	35	126
IGHV3-30-3	5	3	24	189	24	101
IGHV3-33	5	8	27	194	14	102
IGHV3-43	1	0	0	8	0	5
IGHV3-47	0	0	0	0	0	0
IGHV3-48	6	3	26	109	24	50
IGHV3-49	0	0	3	17	4	12
IGHV3-52	0	0	0	0	0	0
IGHV3-53	3	6	12	44	16	31
IGHV3-64	1	0	7	32	11	9
IGHV3-66	3	5	23	80	7	30
IGHV3-7	1	3	10	69	10	33
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	0	3	18	0	11
IGHV3-73	0	2	2	24	3	12
IGHV3-74	3	2	12	85	22	37
IGHV3-9	3	4	14	53	8	30
IGHV4-28	0	0	0	6	4	2
IGHV4-30-2	0	4	14	125	55	43
IGHV4-30-4	2	6	20	149	57	59
IGHV4-31	6	11	33	189	86	84
IGHV4-34	9	2	16	159	91	82
IGHV4-38-2	0	0	2	10	1	2
IGHV4-39	7	9	44	295	101	105
IGHV4-4	2	3	12	120	45	67
IGHV4-55	0	0	0	0	0	0
IGHV4-59	12	14	43	350	150	140
IGHV4-61	3	0	8	75	31	47
IGHV5-10-1	3	0	8	30	16	51
IGHV5-51	8	5	38	138	36	106
IGHV6-1	2	2	4	29	9	24
IGHV7-4-1	0	0	0	1	2	3
