	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	137	5	479	2669	718	1380
IGHV1-2	155	93	419	2527	726	1202
IGHV1-24	18	16	151	576	111	218
IGHV1-3	13	1	37	295	88	105
IGHV1-45	0	0	3	0	0	0
IGHV1-46	27	13	117	692	205	313
IGHV1-58	5	4	397	117	22	150
IGHV1-69	70	16	362	1449	629	1096
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	75	106	190	1086	303	913
IGHV2-26	0	0	0	5	0	0
IGHV2-5	22	6	156	649	220	53
IGHV2-70	0	0	6	39	22	18
IGHV3-11	80	58	431	1907	306	744
IGHV3-13	6	105	281	244	51	172
IGHV3-15	48	99	276	1353	212	985
IGHV3-20	31	5	88	537	46	186
IGHV3-21	68	65	593	2417	503	1355
IGHV3-23	214	104	866	4113	622	1032
IGHV3-30	198	52	691	4608	615	2364
IGHV3-30-3	91	54	544	3050	399	1405
IGHV3-33	19	10	294	807	82	396
IGHV3-43	30	0	24	286	12	209
IGHV3-47	0	0	0	0	0	0
IGHV3-48	87	83	408	1941	278	976
IGHV3-49	10	2	124	520	185	190
IGHV3-52	0	0	0	1	3	0
IGHV3-53	19	51	332	1212	149	629
IGHV3-64	0	0	8	10	0	3
IGHV3-66	0	0	8	52	2	29
IGHV3-7	94	136	720	3023	466	1394
IGHV3-71	0	0	1	1	0	0
IGHV3-72	7	1	12	100	11	16
IGHV3-73	8	9	23	204	27	143
IGHV3-74	18	16	162	955	215	341
IGHV3-9	104	58	727	1697	387	1068
IGHV4-28	0	1	20	3	0	1
IGHV4-30-2	3	10	54	228	91	34
IGHV4-30-4	20	23	137	973	409	207
IGHV4-31	10	17	70	261	184	113
IGHV4-34	46	89	224	2068	516	785
IGHV4-38-2	58	29	92	574	232	146
IGHV4-39	128	142	382	2171	899	661
IGHV4-4	16	7	132	809	387	352
IGHV4-55	0	0	0	0	0	0
IGHV4-59	84	39	302	1149	546	507
IGHV4-61	8	8	113	636	203	228
IGHV5-10-1	0	0	0	8	0	0
IGHV5-51	31	41	623	1038	374	472
IGHV6-1	18	31	233	544	168	267
IGHV7-4-1	20	7	84	412	150	248
