	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	128	11	511	2795	713	1297
IGHV1-2	127	77	451	2570	720	1125
IGHV1-24	17	3	136	604	112	219
IGHV1-3	12	0	42	364	84	96
IGHV1-45	0	0	1	0	0	0
IGHV1-46	28	10	112	664	160	262
IGHV1-58	11	5	381	113	13	172
IGHV1-69	66	30	339	1595	591	1122
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	59	128	202	1045	309	932
IGHV2-26	0	0	0	2	0	0
IGHV2-5	17	7	145	638	232	45
IGHV2-70	1	0	6	61	14	16
IGHV3-11	88	64	401	1940	298	745
IGHV3-13	11	105	301	236	45	182
IGHV3-15	40	83	265	1437	208	1067
IGHV3-20	23	2	81	599	39	177
IGHV3-21	68	57	634	2560	535	1240
IGHV3-23	219	99	845	4113	656	1028
IGHV3-30	226	69	655	4616	607	2324
IGHV3-30-3	81	47	579	3105	377	1359
IGHV3-33	34	11	270	752	101	400
IGHV3-43	24	0	27	285	13	204
IGHV3-47	0	0	0	0	0	0
IGHV3-48	93	72	374	1928	227	1007
IGHV3-49	16	3	139	511	167	167
IGHV3-52	0	0	0	2	4	1
IGHV3-53	22	41	282	1156	122	667
IGHV3-64	0	0	4	18	0	4
IGHV3-66	2	0	8	59	5	18
IGHV3-7	106	133	649	2935	460	1451
IGHV3-71	0	0	3	0	0	0
IGHV3-72	4	2	8	104	16	19
IGHV3-73	6	9	27	209	34	159
IGHV3-74	27	10	188	1005	200	325
IGHV3-9	114	77	651	1609	421	1045
IGHV4-28	0	2	22	1	0	0
IGHV4-30-2	1	5	51	235	106	39
IGHV4-30-4	15	21	132	875	386	200
IGHV4-31	9	17	77	296	233	117
IGHV4-34	64	86	215	1993	570	757
IGHV4-38-2	49	21	107	607	237	138
IGHV4-39	126	121	378	2236	942	654
IGHV4-4	20	14	126	813	333	378
IGHV4-55	0	0	0	0	0	0
IGHV4-59	84	41	258	1124	542	505
IGHV4-61	20	8	92	628	215	275
IGHV5-10-1	0	0	2	3	1	2
IGHV5-51	26	45	668	1073	328	450
IGHV6-1	19	34	227	549	170	279
IGHV7-4-1	31	8	80	403	174	281
