	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	130	12	470	2617	728	1314
IGHV1-2	137	71	411	2560	735	1157
IGHV1-24	23	9	137	593	90	191
IGHV1-3	21	1	37	362	78	117
IGHV1-45	0	0	3	0	0	0
IGHV1-46	22	16	117	740	187	315
IGHV1-58	4	2	374	98	18	143
IGHV1-69	73	16	419	1558	584	1107
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	67	110	191	1081	259	922
IGHV2-26	0	0	1	7	0	0
IGHV2-5	8	6	146	618	218	49
IGHV2-70	0	1	4	37	11	10
IGHV3-11	81	44	423	1985	308	746
IGHV3-13	8	89	299	223	51	157
IGHV3-15	37	83	267	1402	234	1010
IGHV3-20	26	6	84	607	43	180
IGHV3-21	73	70	598	2533	509	1298
IGHV3-23	197	95	874	4083	582	1086
IGHV3-30	217	69	654	4784	572	2375
IGHV3-30-3	69	46	550	3079	397	1435
IGHV3-33	24	8	295	751	106	371
IGHV3-43	27	1	23	288	16	187
IGHV3-47	0	0	0	0	0	0
IGHV3-48	87	92	402	1923	255	985
IGHV3-49	15	0	124	500	170	165
IGHV3-52	0	0	0	3	0	2
IGHV3-53	32	44	295	1181	139	684
IGHV3-64	0	0	1	18	0	3
IGHV3-66	2	0	5	55	6	25
IGHV3-7	112	123	681	3018	502	1341
IGHV3-71	0	0	2	2	0	0
IGHV3-72	7	1	5	99	16	19
IGHV3-73	8	16	38	202	37	145
IGHV3-74	24	15	148	970	204	321
IGHV3-9	101	49	644	1698	371	1056
IGHV4-28	0	1	22	2	1	1
IGHV4-30-2	2	5	61	220	97	29
IGHV4-30-4	28	26	140	1033	434	232
IGHV4-31	5	21	82	254	210	138
IGHV4-34	53	102	222	2013	530	827
IGHV4-38-2	51	26	97	576	249	139
IGHV4-39	124	146	337	2143	923	609
IGHV4-4	16	7	128	818	382	382
IGHV4-55	0	0	0	0	0	0
IGHV4-59	64	34	289	1151	571	489
IGHV4-61	15	4	120	622	217	225
IGHV5-10-1	1	0	3	6	0	3
IGHV5-51	31	37	650	1097	325	492
IGHV6-1	22	23	240	565	139	238
IGHV7-4-1	21	9	66	427	145	249
