	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	7	5	76	255	74	148
IGHV1-2	0	3	21	63	26	66
IGHV1-24	3	2	17	69	16	26
IGHV1-3	6	1	28	93	49	58
IGHV1-45	1	0	1	0	2	0
IGHV1-46	4	2	32	122	32	71
IGHV1-58	0	0	7	23	4	17
IGHV1-69	7	7	48	198	70	175
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	1	1	28	71	45	82
IGHV2-26	0	0	1	16	11	11
IGHV2-5	5	1	15	82	45	16
IGHV2-70	1	0	7	27	3	26
IGHV3-11	4	6	32	119	21	73
IGHV3-13	0	2	13	15	7	24
IGHV3-15	5	1	18	147	22	96
IGHV3-20	1	0	13	7	4	9
IGHV3-21	5	5	47	194	42	93
IGHV3-23	38	23	188	953	170	370
IGHV3-30	10	4	70	328	38	218
IGHV3-30-3	3	0	28	176	22	112
IGHV3-33	10	1	49	257	36	170
IGHV3-43	0	0	0	9	0	4
IGHV3-47	0	0	0	0	0	0
IGHV3-48	2	4	25	80	12	55
IGHV3-49	1	0	7	22	6	9
IGHV3-52	0	0	0	0	0	0
IGHV3-53	0	2	5	26	4	20
IGHV3-64	2	2	6	19	4	5
IGHV3-66	0	1	10	31	8	23
IGHV3-7	2	4	13	81	16	37
IGHV3-71	0	0	0	0	1	0
IGHV3-72	2	0	2	12	2	3
IGHV3-73	1	0	4	15	5	7
IGHV3-74	0	2	15	62	16	26
IGHV3-9	3	1	19	53	4	23
IGHV4-28	0	0	0	4	0	0
IGHV4-30-2	0	0	6	18	18	9
IGHV4-30-4	1	2	7	45	16	20
IGHV4-31	3	8	33	162	66	83
IGHV4-34	5	3	31	176	79	115
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	4	6	47	222	90	101
IGHV4-4	2	2	10	54	20	29
IGHV4-55	0	0	0	0	0	0
IGHV4-59	6	8	49	211	83	148
IGHV4-61	1	1	2	48	14	14
IGHV5-10-1	0	0	1	13	6	21
IGHV5-51	4	3	30	92	30	80
IGHV6-1	0	0	12	29	7	20
IGHV7-4-1	0	0	0	2	1	3
