	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	85	17	327	1552	433	941
IGHV1-2	38	13	261	2040	423	996
IGHV1-24	16	12	180	453	84	247
IGHV1-3	5	1	10	321	80	86
IGHV1-45	0	0	1	1	2	0
IGHV1-46	16	5	110	582	76	336
IGHV1-58	1	2	22	21	18	42
IGHV1-69	39	17	262	763	279	924
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	17	8	89	312	206	897
IGHV2-26	0	0	0	1	2	0
IGHV2-5	15	21	69	451	117	210
IGHV2-70	0	1	9	58	10	21
IGHV3-11	19	79	230	1161	194	464
IGHV3-13	11	100	49	136	47	68
IGHV3-15	72	65	294	2507	222	724
IGHV3-20	3	1	54	103	11	30
IGHV3-21	62	32	377	1668	259	1025
IGHV3-23	306	186	1322	7205	1167	1859
IGHV3-30	328	64	645	4306	806	2650
IGHV3-30-3	444	62	575	3196	697	1667
IGHV3-33	67	52	412	3436	518	1181
IGHV3-43	4	0	18	152	13	60
IGHV3-47	0	0	0	0	0	0
IGHV3-48	44	43	374	1922	315	807
IGHV3-49	11	5	63	488	112	186
IGHV3-52	0	0	0	1	0	0
IGHV3-53	19	38	220	756	121	692
IGHV3-64	1	3	67	122	12	102
IGHV3-66	27	64	172	775	80	507
IGHV3-7	136	77	793	3263	565	1292
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	16	26	116	5	43
IGHV3-73	19	6	43	345	70	124
IGHV3-74	29	21	237	1037	324	608
IGHV3-9	73	42	736	1045	146	555
IGHV4-28	0	0	1	3	1	0
IGHV4-30-2	10	3	104	174	91	56
IGHV4-30-4	14	26	205	735	414	188
IGHV4-31	21	32	130	904	278	404
IGHV4-34	72	48	93	846	256	430
IGHV4-38-2	0	0	9	12	6	5
IGHV4-39	61	384	395	1670	741	570
IGHV4-4	27	36	178	831	241	387
IGHV4-55	0	0	0	1	0	0
IGHV4-59	66	113	662	2832	1000	954
IGHV4-61	34	63	113	468	237	348
IGHV5-10-1	0	0	1	4	4	6
IGHV5-51	9	71	380	1624	287	621
IGHV6-1	8	30	97	327	92	375
IGHV7-4-1	0	0	2	8	4	6
