	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	183	32	897	3540	746	1539
IGHV1-2	113	49	914	1955	621	757
IGHV1-24	28	3	165	591	120	119
IGHV1-3	0	0	4	2	1	0
IGHV1-45	0	0	2	0	1	0
IGHV1-46	22	3	251	527	183	212
IGHV1-58	2	2	32	47	6	20
IGHV1-69	99	69	628	1556	418	1286
IGHV1-69-2	0	0	2	0	0	0
IGHV1-8	18	17	293	579	250	452
IGHV2-26	0	0	0	1	0	1
IGHV2-5	24	6	87	385	101	50
IGHV2-70	0	0	1	1	1	0
IGHV3-11	64	30	358	1021	288	592
IGHV3-13	1	21	99	75	20	137
IGHV3-15	251	16	944	2363	178	558
IGHV3-20	22	18	293	572	151	306
IGHV3-21	128	50	846	2667	515	995
IGHV3-23	282	110	1587	6416	644	1347
IGHV3-30	199	53	521	2283	333	1057
IGHV3-30-3	0	0	0	13	0	1
IGHV3-33	25	16	306	996	161	492
IGHV3-43	12	1	20	149	10	52
IGHV3-47	0	0	0	0	0	0
IGHV3-48	91	90	1063	2299	419	810
IGHV3-49	40	14	285	2389	126	333
IGHV3-52	1	0	0	1	0	0
IGHV3-53	62	14	174	417	49	198
IGHV3-64	7	31	161	236	17	96
IGHV3-66	16	15	206	588	76	228
IGHV3-7	175	69	1209	3828	581	938
IGHV3-71	0	0	0	5	0	0
IGHV3-72	1	3	76	406	7	279
IGHV3-73	9	7	79	253	40	140
IGHV3-74	91	42	279	1241	272	386
IGHV3-9	59	32	465	917	171	322
IGHV4-28	0	0	5	8	0	2
IGHV4-30-2	0	0	2	0	1	0
IGHV4-30-4	0	0	0	2	0	1
IGHV4-31	0	0	0	0	0	0
IGHV4-34	34	22	866	1098	356	747
IGHV4-38-2	78	50	747	2080	708	592
IGHV4-39	47	29	243	1879	439	459
IGHV4-4	15	48	325	792	312	1010
IGHV4-55	0	0	0	0	0	0
IGHV4-59	88	159	932	2449	1553	1992
IGHV4-61	21	28	439	854	345	558
IGHV5-10-1	0	0	0	0	0	0
IGHV5-51	49	15	607	1352	323	454
IGHV6-1	5	23	256	551	162	175
IGHV7-4-1	0	0	0	0	0	0
