	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	295	29	326	2024	1020	1768
IGHV1-2	107	40	556	2210	754	1231
IGHV1-24	37	8	193	2757	882	492
IGHV1-3	4	1	32	227	84	110
IGHV1-45	0	0	7	5	1	0
IGHV1-46	16	5	60	419	101	224
IGHV1-58	0	6	37	117	40	133
IGHV1-69	51	27	595	1914	816	2043
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	11	4	63	260	189	605
IGHV2-26	0	0	3	1	0	3
IGHV2-5	70	0	49	158	86	80
IGHV2-70	0	1	8	10	5	24
IGHV3-11	33	98	375	1466	318	1118
IGHV3-13	3	17	35	99	29	201
IGHV3-15	81	18	200	1263	173	1209
IGHV3-20	0	0	105	66	35	83
IGHV3-21	59	86	975	2616	425	2242
IGHV3-23	280	116	1929	4448	884	2725
IGHV3-30	185	40	1228	4635	953	4252
IGHV3-30-3	8	1	37	159	45	78
IGHV3-33	40	34	434	1679	213	1038
IGHV3-43	5	0	5	68	5	90
IGHV3-47	0	0	0	0	0	0
IGHV3-48	91	41	502	2088	669	1624
IGHV3-49	13	7	125	559	93	598
IGHV3-52	0	1	1	1	0	0
IGHV3-53	17	48	403	459	134	512
IGHV3-64	1	0	20	77	12	63
IGHV3-66	4	2	16	48	7	30
IGHV3-7	40	49	384	1976	494	1878
IGHV3-71	0	0	0	3	1	1
IGHV3-72	4	24	22	79	37	50
IGHV3-73	10	6	82	335	48	188
IGHV3-74	16	28	234	694	156	516
IGHV3-9	85	59	236	603	105	988
IGHV4-28	0	1	0	0	2	0
IGHV4-30-2	4	20	167	222	102	55
IGHV4-30-4	1	0	9	26	11	7
IGHV4-31	15	27	129	289	209	283
IGHV4-34	40	248	176	1372	827	1312
IGHV4-38-2	13	5	74	321	172	182
IGHV4-39	21	21	123	1044	490	404
IGHV4-4	24	19	120	586	254	463
IGHV4-55	0	0	0	0	0	0
IGHV4-59	28	95	312	1547	937	1580
IGHV4-61	25	5	69	475	193	623
IGHV5-10-1	0	1	27	98	70	141
IGHV5-51	40	23	395	917	298	834
IGHV6-1	0	2	65	196	150	220
IGHV7-4-1	15	3	46	273	70	164
