	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	9	5	42	297	94	136
IGHV1-2	0	1	16	78	18	62
IGHV1-24	1	2	7	47	19	17
IGHV1-3	9	5	23	158	50	68
IGHV1-45	0	0	0	1	2	0
IGHV1-46	6	5	26	112	44	86
IGHV1-58	0	0	2	44	14	25
IGHV1-69	20	20	76	327	127	216
IGHV1-69-2	0	0	0	0	0	1
IGHV1-8	1	4	14	94	42	62
IGHV2-26	0	0	5	20	11	9
IGHV2-5	8	7	25	189	70	29
IGHV2-70	0	1	2	34	9	31
IGHV3-11	4	5	13	98	27	37
IGHV3-13	0	2	4	14	3	7
IGHV3-15	1	0	10	64	14	30
IGHV3-20	1	0	0	21	1	5
IGHV3-21	3	1	15	97	25	62
IGHV3-23	11	13	52	367	67	103
IGHV3-30	9	11	41	276	43	130
IGHV3-30-3	8	6	37	189	28	98
IGHV3-33	7	11	27	180	29	104
IGHV3-43	0	0	1	3	0	8
IGHV3-47	0	0	0	0	0	0
IGHV3-48	3	2	28	130	22	68
IGHV3-49	1	0	3	21	1	10
IGHV3-52	0	0	0	1	0	0
IGHV3-53	1	3	12	50	10	34
IGHV3-64	1	0	9	35	5	13
IGHV3-66	3	6	18	47	14	44
IGHV3-7	3	1	17	81	14	26
IGHV3-71	0	0	0	0	0	0
IGHV3-72	4	0	7	28	4	9
IGHV3-73	1	1	5	27	6	9
IGHV3-74	1	6	15	83	23	29
IGHV3-9	1	1	15	50	8	26
IGHV4-28	0	1	0	4	4	1
IGHV4-30-2	3	6	15	96	59	38
IGHV4-30-4	1	6	21	128	49	49
IGHV4-31	3	9	36	187	89	94
IGHV4-34	6	10	24	169	71	77
IGHV4-38-2	0	0	2	5	5	2
IGHV4-39	9	12	33	285	121	122
IGHV4-4	7	4	17	92	44	55
IGHV4-55	0	0	0	0	0	0
IGHV4-59	13	7	52	355	177	132
IGHV4-61	0	1	16	107	43	37
IGHV5-10-1	1	0	7	26	14	36
IGHV5-51	2	2	41	121	37	110
IGHV6-1	0	1	5	25	17	31
IGHV7-4-1	0	0	1	1	2	5
