	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	94	20	362	1520	457	1033
IGHV1-2	44	18	262	1896	423	1008
IGHV1-24	19	16	160	435	86	240
IGHV1-3	6	0	14	316	79	67
IGHV1-45	0	0	2	3	1	0
IGHV1-46	13	5	110	598	72	335
IGHV1-58	1	0	8	22	11	42
IGHV1-69	49	24	261	787	302	975
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	25	12	116	322	225	937
IGHV2-26	0	0	0	1	1	0
IGHV2-5	19	17	74	448	132	225
IGHV2-70	0	0	5	50	5	24
IGHV3-11	30	80	248	1202	205	492
IGHV3-13	13	80	42	157	41	71
IGHV3-15	73	47	275	2471	217	749
IGHV3-20	4	3	59	95	5	35
IGHV3-21	64	27	350	1668	250	984
IGHV3-23	302	186	1297	7054	1238	1838
IGHV3-30	329	56	673	4362	813	2558
IGHV3-30-3	454	49	554	3239	645	1721
IGHV3-33	85	52	465	3311	525	1184
IGHV3-43	6	2	16	133	6	55
IGHV3-47	0	0	0	0	0	0
IGHV3-48	55	48	403	1925	311	846
IGHV3-49	13	5	66	489	108	192
IGHV3-52	0	0	0	0	0	0
IGHV3-53	26	35	218	683	141	742
IGHV3-64	2	7	94	143	14	100
IGHV3-66	30	71	148	768	94	532
IGHV3-7	147	68	756	3145	540	1322
IGHV3-71	0	0	0	1	0	0
IGHV3-72	1	12	30	125	8	47
IGHV3-73	19	5	61	315	56	133
IGHV3-74	42	21	217	966	286	628
IGHV3-9	70	29	739	1022	153	582
IGHV4-28	0	0	0	3	1	0
IGHV4-30-2	9	3	114	157	81	61
IGHV4-30-4	14	32	233	736	391	173
IGHV4-31	24	22	150	878	297	423
IGHV4-34	100	52	104	870	266	445
IGHV4-38-2	2	2	5	14	5	7
IGHV4-39	67	438	420	1637	704	583
IGHV4-4	23	28	171	863	277	436
IGHV4-55	0	0	0	0	0	0
IGHV4-59	67	116	641	2824	938	958
IGHV4-61	31	68	97	462	271	366
IGHV5-10-1	0	0	0	4	2	6
IGHV5-51	19	68	316	1650	257	592
IGHV6-1	6	37	124	334	104	366
IGHV7-4-1	0	0	7	10	2	2
