	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	8	3	37	224	88	156
IGHV1-2	4	2	38	140	58	168
IGHV1-24	1	0	10	29	12	13
IGHV1-3	3	4	6	66	37	56
IGHV1-45	0	0	0	1	0	0
IGHV1-46	0	1	19	107	42	71
IGHV1-58	1	0	0	21	8	19
IGHV1-69	10	12	77	324	146	341
IGHV1-69-2	0	0	0	1	1	0
IGHV1-8	1	2	14	54	32	69
IGHV2-26	0	1	2	15	8	15
IGHV2-5	4	0	14	50	19	20
IGHV2-70	0	0	4	23	6	19
IGHV3-11	1	5	16	103	32	57
IGHV3-13	0	1	5	17	4	13
IGHV3-15	1	2	16	89	10	59
IGHV3-20	0	0	0	0	0	0
IGHV3-21	4	1	39	164	37	114
IGHV3-23	17	18	87	618	126	245
IGHV3-30	5	1	35	235	41	191
IGHV3-30-3	7	5	26	180	32	141
IGHV3-33	2	0	21	139	34	102
IGHV3-43	0	0	2	5	2	8
IGHV3-47	0	0	0	0	0	0
IGHV3-48	3	7	23	138	31	115
IGHV3-49	0	0	6	25	6	20
IGHV3-52	0	0	0	0	0	0
IGHV3-53	2	2	17	65	13	36
IGHV3-64	1	0	5	17	3	8
IGHV3-66	0	0	0	6	1	4
IGHV3-7	4	1	19	111	28	71
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	1	4	8	2	9
IGHV3-73	0	1	6	22	4	15
IGHV3-74	3	3	15	70	17	43
IGHV3-9	1	4	20	64	19	43
IGHV4-28	0	0	1	2	1	1
IGHV4-30-2	1	3	12	42	40	17
IGHV4-30-4	5	1	8	98	50	61
IGHV4-31	6	3	25	124	70	80
IGHV4-34	5	3	21	147	65	136
IGHV4-38-2	2	2	7	49	18	23
IGHV4-39	4	4	21	126	80	86
IGHV4-4	1	1	25	108	70	85
IGHV4-55	0	0	0	0	0	0
IGHV4-59	3	4	33	154	96	117
IGHV4-61	4	2	13	81	34	60
IGHV5-10-1	1	0	17	55	29	84
IGHV5-51	0	6	34	140	52	135
IGHV6-1	0	1	6	25	15	43
IGHV7-4-1	0	0	0	1	0	1
