	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	271	18	322	2090	1047	1802
IGHV1-2	121	41	473	2220	758	1257
IGHV1-24	35	7	165	2772	872	468
IGHV1-3	1	4	32	228	73	121
IGHV1-45	0	0	3	2	0	0
IGHV1-46	11	4	61	452	112	218
IGHV1-58	0	4	38	134	33	99
IGHV1-69	54	38	619	1846	794	2133
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	12	2	68	296	173	656
IGHV2-26	0	0	3	2	0	0
IGHV2-5	58	0	42	185	107	68
IGHV2-70	0	1	9	19	5	11
IGHV3-11	27	77	321	1527	352	1090
IGHV3-13	2	14	37	99	31	196
IGHV3-15	71	25	196	1316	173	1198
IGHV3-20	1	0	103	57	36	97
IGHV3-21	59	101	946	2652	414	2116
IGHV3-23	272	157	1861	4493	757	2709
IGHV3-30	164	50	1215	4687	1001	4334
IGHV3-30-3	5	2	47	167	48	79
IGHV3-33	32	49	455	1729	214	1001
IGHV3-43	3	2	9	77	7	80
IGHV3-47	0	0	0	0	0	0
IGHV3-48	62	38	528	2048	651	1626
IGHV3-49	20	5	136	545	102	610
IGHV3-52	0	1	0	2	0	0
IGHV3-53	14	47	369	465	121	525
IGHV3-64	3	3	21	68	13	84
IGHV3-66	0	3	15	62	9	36
IGHV3-7	37	57	324	1993	463	1827
IGHV3-71	0	0	0	2	0	1
IGHV3-72	6	26	20	69	26	49
IGHV3-73	25	8	78	356	42	198
IGHV3-74	18	19	230	683	153	562
IGHV3-9	85	46	205	622	125	964
IGHV4-28	0	2	0	0	0	0
IGHV4-30-2	2	12	186	259	110	64
IGHV4-30-4	0	2	4	33	10	4
IGHV4-31	15	36	138	332	199	307
IGHV4-34	37	288	207	1382	797	1292
IGHV4-38-2	6	7	80	372	163	162
IGHV4-39	25	22	126	960	561	425
IGHV4-4	29	17	99	602	247	523
IGHV4-55	0	0	0	0	0	0
IGHV4-59	25	96	308	1468	914	1587
IGHV4-61	24	10	51	446	193	563
IGHV5-10-1	0	1	22	82	55	132
IGHV5-51	38	13	369	960	296	825
IGHV6-1	1	1	65	222	133	234
IGHV7-4-1	16	3	38	258	75	171
