	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	9	6	44	199	90	159
IGHV1-2	2	2	33	156	67	143
IGHV1-24	1	0	7	37	12	21
IGHV1-3	5	1	21	59	33	55
IGHV1-45	0	0	1	0	1	0
IGHV1-46	2	5	17	90	38	67
IGHV1-58	0	0	9	12	5	14
IGHV1-69	9	14	80	321	134	352
IGHV1-69-2	0	0	1	1	0	2
IGHV1-8	1	0	13	71	28	46
IGHV2-26	0	0	1	17	5	11
IGHV2-5	4	2	12	52	31	6
IGHV2-70	0	0	6	22	7	20
IGHV3-11	3	4	15	94	34	59
IGHV3-13	0	0	3	18	2	19
IGHV3-15	1	1	9	89	13	51
IGHV3-20	0	0	0	0	0	1
IGHV3-21	3	7	25	167	42	133
IGHV3-23	16	9	104	562	150	245
IGHV3-30	5	5	35	268	49	201
IGHV3-30-3	2	3	38	178	33	114
IGHV3-33	3	4	17	148	45	120
IGHV3-43	0	0	0	10	2	16
IGHV3-47	0	0	0	0	0	0
IGHV3-48	4	2	32	119	26	96
IGHV3-49	1	1	4	23	5	23
IGHV3-52	0	0	0	0	0	0
IGHV3-53	2	1	21	69	16	58
IGHV3-64	0	3	7	26	5	10
IGHV3-66	0	0	0	7	1	0
IGHV3-7	2	5	11	111	27	73
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	0	1	13	4	9
IGHV3-73	1	0	3	16	0	11
IGHV3-74	1	1	9	65	16	43
IGHV3-9	3	2	24	75	11	54
IGHV4-28	0	0	0	0	1	0
IGHV4-30-2	2	0	5	39	29	25
IGHV4-30-4	1	4	14	65	47	56
IGHV4-31	6	5	20	121	69	90
IGHV4-34	5	3	26	146	83	167
IGHV4-38-2	1	0	10	41	28	19
IGHV4-39	3	1	24	132	87	96
IGHV4-4	2	3	12	104	71	90
IGHV4-55	0	0	0	0	0	0
IGHV4-59	2	3	29	157	90	112
IGHV4-61	0	4	6	74	27	61
IGHV5-10-1	0	1	8	55	32	93
IGHV5-51	5	3	52	119	52	132
IGHV6-1	1	1	7	39	16	45
IGHV7-4-1	0	0	0	0	0	1
