	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	6	3	65	289	89	158
IGHV1-2	4	2	21	77	12	61
IGHV1-24	2	0	17	59	19	17
IGHV1-3	3	0	18	86	46	58
IGHV1-45	0	0	2	0	2	0
IGHV1-46	1	1	23	109	33	76
IGHV1-58	2	2	2	19	3	16
IGHV1-69	8	7	54	211	59	160
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	4	5	23	75	36	80
IGHV2-26	0	1	2	11	8	10
IGHV2-5	4	4	17	101	31	12
IGHV2-70	0	1	7	32	4	16
IGHV3-11	3	6	39	129	19	81
IGHV3-13	0	5	7	40	2	26
IGHV3-15	3	1	29	150	12	98
IGHV3-20	0	0	3	13	5	3
IGHV3-21	2	5	51	188	33	105
IGHV3-23	36	15	199	1015	176	360
IGHV3-30	14	4	49	302	32	230
IGHV3-30-3	5	0	26	179	32	105
IGHV3-33	5	2	54	246	41	175
IGHV3-43	1	0	1	25	0	10
IGHV3-47	1	0	0	0	0	0
IGHV3-48	3	2	21	75	24	45
IGHV3-49	0	0	5	21	9	15
IGHV3-52	0	0	0	1	1	0
IGHV3-53	1	1	9	25	7	28
IGHV3-64	0	0	5	21	7	10
IGHV3-66	0	1	15	27	5	20
IGHV3-7	3	3	20	84	18	35
IGHV3-71	0	0	0	2	0	0
IGHV3-72	0	1	3	11	1	4
IGHV3-73	1	1	3	20	7	15
IGHV3-74	0	0	10	54	15	33
IGHV3-9	5	4	22	48	8	34
IGHV4-28	0	0	0	3	0	0
IGHV4-30-2	0	0	7	30	9	20
IGHV4-30-4	0	0	5	48	16	23
IGHV4-31	5	7	32	144	74	68
IGHV4-34	3	8	32	184	91	98
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	5	11	49	211	77	94
IGHV4-4	0	3	11	45	17	19
IGHV4-55	0	0	0	0	0	0
IGHV4-59	4	7	32	193	90	132
IGHV4-61	1	0	8	29	11	17
IGHV5-10-1	0	0	6	13	4	22
IGHV5-51	3	2	32	98	29	97
IGHV6-1	0	1	12	21	10	23
IGHV7-4-1	0	0	0	0	1	0
