	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	4	3	63	259	101	149
IGHV1-2	2	0	20	58	29	70
IGHV1-24	2	2	18	57	19	32
IGHV1-3	6	2	17	89	30	59
IGHV1-45	0	0	1	2	0	0
IGHV1-46	1	1	29	110	29	62
IGHV1-58	0	0	11	32	2	14
IGHV1-69	6	3	52	232	70	178
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	3	0	28	70	32	86
IGHV2-26	0	0	3	12	11	8
IGHV2-5	2	0	14	78	40	13
IGHV2-70	0	0	4	26	6	14
IGHV3-11	8	1	34	105	29	69
IGHV3-13	0	3	12	25	4	26
IGHV3-15	1	1	34	155	20	102
IGHV3-20	1	0	6	21	2	12
IGHV3-21	2	7	48	177	50	101
IGHV3-23	42	21	189	1055	173	329
IGHV3-30	6	3	50	312	41	201
IGHV3-30-3	8	2	20	184	21	111
IGHV3-33	5	6	55	254	31	165
IGHV3-43	1	1	3	11	0	10
IGHV3-47	0	0	0	0	0	0
IGHV3-48	1	3	25	97	19	53
IGHV3-49	0	1	6	28	5	17
IGHV3-52	0	0	0	0	0	0
IGHV3-53	1	0	12	19	5	26
IGHV3-64	0	1	3	17	3	15
IGHV3-66	1	0	10	41	4	23
IGHV3-7	4	2	21	101	8	37
IGHV3-71	0	0	0	0	1	0
IGHV3-72	1	0	1	7	2	5
IGHV3-73	0	0	6	12	4	12
IGHV3-74	0	0	19	64	11	33
IGHV3-9	3	5	29	58	13	25
IGHV4-28	0	0	0	0	1	0
IGHV4-30-2	0	3	6	21	11	16
IGHV4-30-4	1	3	6	40	19	20
IGHV4-31	3	3	31	158	73	76
IGHV4-34	5	5	22	186	83	119
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	7	9	46	211	83	92
IGHV4-4	1	3	7	47	10	22
IGHV4-55	0	0	0	1	0	0
IGHV4-59	3	17	33	192	102	112
IGHV4-61	3	2	7	24	5	27
IGHV5-10-1	0	1	4	18	12	23
IGHV5-51	2	3	29	70	27	95
IGHV6-1	0	0	9	23	15	26
IGHV7-4-1	2	0	0	0	1	1
