	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	57	19	757	2449	549	1045
IGHV1-2	59	22	573	1725	473	801
IGHV1-24	27	5	235	617	129	450
IGHV1-3	6	0	82	181	40	90
IGHV1-45	0	0	0	0	0	3
IGHV1-46	16	5	180	334	54	230
IGHV1-58	11	5	50	82	18	117
IGHV1-69	83	53	756	1444	486	1621
IGHV1-69-2	0	0	0	1	0	0
IGHV1-8	16	9	213	419	194	529
IGHV2-26	0	0	1	0	0	3
IGHV2-5	13	6	67	312	129	32
IGHV2-70	0	0	12	29	8	10
IGHV3-11	38	56	526	1399	233	668
IGHV3-13	5	10	104	149	35	107
IGHV3-15	56	12	735	1635	305	705
IGHV3-20	0	0	5	8	1	6
IGHV3-21	85	74	1187	2531	422	1100
IGHV3-23	370	188	2333	8477	1302	2010
IGHV3-30	185	37	620	3049	389	1579
IGHV3-30-3	172	70	1380	4365	462	1715
IGHV3-33	50	17	627	2067	223	829
IGHV3-43	2	0	49	211	24	98
IGHV3-47	0	0	0	0	0	0
IGHV3-48	92	63	816	2127	477	993
IGHV3-49	8	5	225	520	52	238
IGHV3-52	0	0	0	1	0	1
IGHV3-53	29	44	610	1235	151	719
IGHV3-64	0	5	43	46	2	19
IGHV3-66	3	2	13	34	0	14
IGHV3-7	60	88	846	2964	523	1063
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	4	31	178	9	44
IGHV3-73	9	2	58	97	62	70
IGHV3-74	21	10	241	900	210	402
IGHV3-9	21	37	374	739	114	389
IGHV4-28	0	4	1	0	2	7
IGHV4-30-2	7	5	118	224	77	62
IGHV4-30-4	14	13	62	377	80	144
IGHV4-31	48	25	375	882	285	290
IGHV4-34	25	55	137	729	308	567
IGHV4-38-2	1	1	14	39	18	13
IGHV4-39	44	41	471	1652	680	552
IGHV4-4	18	31	253	602	324	391
IGHV4-55	0	0	0	0	0	0
IGHV4-59	25	83	591	1390	623	994
IGHV4-61	15	30	220	418	243	240
IGHV5-10-1	9	2	87	77	49	125
IGHV5-51	44	15	759	1040	265	463
IGHV6-1	3	2	197	335	130	257
IGHV7-4-1	0	0	1	2	4	2
