	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	88	27	306	1548	482	1020
IGHV1-2	54	18	283	1937	454	967
IGHV1-24	25	14	195	398	81	229
IGHV1-3	5	2	15	347	67	79
IGHV1-45	0	0	2	3	1	0
IGHV1-46	24	3	85	586	90	334
IGHV1-58	1	1	10	23	13	55
IGHV1-69	32	24	259	840	308	935
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	18	10	104	296	213	931
IGHV2-26	0	0	0	0	0	0
IGHV2-5	31	18	49	499	156	228
IGHV2-70	1	0	4	49	6	27
IGHV3-11	35	69	225	1246	210	444
IGHV3-13	11	105	39	149	51	69
IGHV3-15	76	54	289	2601	220	735
IGHV3-20	3	1	58	99	13	27
IGHV3-21	46	39	360	1665	265	982
IGHV3-23	298	194	1317	6984	1176	1820
IGHV3-30	335	60	592	4149	829	2592
IGHV3-30-3	445	56	548	3056	643	1735
IGHV3-33	80	52	371	3314	534	1175
IGHV3-43	4	0	14	145	6	60
IGHV3-47	0	0	0	0	0	0
IGHV3-48	47	50	410	1916	329	796
IGHV3-49	12	4	54	503	123	184
IGHV3-52	0	0	0	1	0	0
IGHV3-53	33	36	203	732	138	766
IGHV3-64	2	2	92	140	15	88
IGHV3-66	24	67	137	847	98	505
IGHV3-7	150	81	745	3271	563	1297
IGHV3-71	0	0	0	3	0	0
IGHV3-72	4	10	28	122	6	71
IGHV3-73	13	9	50	321	57	114
IGHV3-74	26	28	223	1061	302	649
IGHV3-9	73	28	756	1069	137	562
IGHV4-28	0	0	1	6	0	0
IGHV4-30-2	7	3	99	185	96	56
IGHV4-30-4	9	36	216	691	407	183
IGHV4-31	19	28	144	894	259	395
IGHV4-34	89	40	99	819	265	455
IGHV4-38-2	0	0	11	14	2	6
IGHV4-39	75	395	382	1661	709	529
IGHV4-4	26	42	187	917	271	360
IGHV4-55	0	0	0	0	0	0
IGHV4-59	74	104	638	2920	1002	930
IGHV4-61	43	61	120	495	284	347
IGHV5-10-1	1	0	2	2	0	7
IGHV5-51	23	51	359	1674	239	647
IGHV6-1	7	37	131	362	123	345
IGHV7-4-1	0	0	1	10	4	6
