	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	8	4	34	215	73	163
IGHV1-2	8	4	30	160	67	135
IGHV1-24	1	3	4	25	11	23
IGHV1-3	2	3	10	71	29	44
IGHV1-45	0	0	0	2	0	0
IGHV1-46	5	2	16	101	36	91
IGHV1-58	1	1	5	17	5	16
IGHV1-69	14	12	84	296	150	336
IGHV1-69-2	0	0	0	1	0	2
IGHV1-8	2	1	19	55	31	59
IGHV2-26	0	0	4	19	6	14
IGHV2-5	5	0	11	53	21	11
IGHV2-70	0	1	4	23	7	26
IGHV3-11	4	3	20	85	35	64
IGHV3-13	0	2	2	8	4	17
IGHV3-15	6	2	13	71	13	50
IGHV3-20	0	0	0	0	0	0
IGHV3-21	6	4	37	208	35	139
IGHV3-23	14	11	87	572	125	265
IGHV3-30	3	5	33	243	45	207
IGHV3-30-3	4	5	24	187	32	122
IGHV3-33	4	3	31	124	20	124
IGHV3-43	0	0	0	8	0	13
IGHV3-47	0	0	0	0	0	0
IGHV3-48	4	3	38	134	33	119
IGHV3-49	0	0	2	26	6	10
IGHV3-52	0	0	0	0	0	0
IGHV3-53	0	3	28	72	12	57
IGHV3-64	1	1	2	26	3	13
IGHV3-66	0	1	0	1	0	3
IGHV3-7	1	2	15	134	32	83
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	1	5	13	0	6
IGHV3-73	0	0	3	10	4	17
IGHV3-74	3	3	15	67	24	45
IGHV3-9	0	2	13	65	18	44
IGHV4-28	0	0	0	0	2	0
IGHV4-30-2	1	0	12	47	33	17
IGHV4-30-4	4	3	8	82	36	63
IGHV4-31	2	4	32	131	87	75
IGHV4-34	5	1	24	161	82	127
IGHV4-38-2	0	0	7	39	22	16
IGHV4-39	2	5	19	140	95	62
IGHV4-4	3	5	23	121	71	78
IGHV4-55	0	0	0	0	1	0
IGHV4-59	3	6	34	142	76	131
IGHV4-61	4	3	11	63	37	49
IGHV5-10-1	0	2	8	54	26	90
IGHV5-51	3	2	46	131	39	137
IGHV6-1	1	0	5	34	8	48
IGHV7-4-1	1	1	1	0	0	1
