	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	13	6	50	286	115	147
IGHV1-2	3	1	23	53	17	80
IGHV1-24	0	0	7	44	10	15
IGHV1-3	4	6	25	144	44	69
IGHV1-45	0	0	2	0	0	0
IGHV1-46	4	3	17	114	42	55
IGHV1-58	0	1	12	32	4	19
IGHV1-69	13	15	79	349	97	214
IGHV1-69-2	0	1	0	0	0	0
IGHV1-8	2	4	15	89	49	61
IGHV2-26	0	1	3	16	11	18
IGHV2-5	8	4	31	217	65	27
IGHV2-70	0	0	8	40	6	18
IGHV3-11	5	5	9	108	18	36
IGHV3-13	0	2	7	13	1	16
IGHV3-15	0	1	15	97	16	23
IGHV3-20	1	0	3	16	3	3
IGHV3-21	1	2	26	118	27	60
IGHV3-23	11	14	56	358	58	116
IGHV3-30	11	11	38	283	49	146
IGHV3-30-3	7	5	29	190	33	93
IGHV3-33	5	6	32	186	33	86
IGHV3-43	0	0	1	3	0	10
IGHV3-47	0	0	0	0	0	0
IGHV3-48	3	3	18	120	29	66
IGHV3-49	0	0	2	16	5	10
IGHV3-52	0	0	0	1	0	0
IGHV3-53	3	2	9	47	14	30
IGHV3-64	2	0	1	33	4	14
IGHV3-66	1	3	16	63	8	49
IGHV3-7	2	4	15	77	15	31
IGHV3-71	0	0	0	0	0	0
IGHV3-72	0	0	3	16	3	3
IGHV3-73	0	0	6	31	3	13
IGHV3-74	3	2	17	86	16	37
IGHV3-9	0	4	14	42	11	33
IGHV4-28	0	1	1	9	2	1
IGHV4-30-2	1	9	12	102	55	38
IGHV4-30-4	4	7	29	123	55	48
IGHV4-31	9	13	35	191	84	56
IGHV4-34	5	3	16	191	89	72
IGHV4-38-2	0	0	0	4	5	3
IGHV4-39	7	11	32	279	110	127
IGHV4-4	3	2	19	124	39	41
IGHV4-55	0	0	0	0	0	0
IGHV4-59	6	9	59	371	153	150
IGHV4-61	0	1	5	95	33	39
IGHV5-10-1	0	1	13	35	15	36
IGHV5-51	5	4	44	109	38	125
IGHV6-1	0	0	8	37	16	30
IGHV7-4-1	0	0	1	2	1	3
