	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	176	33	929	3613	780	1478
IGHV1-2	122	36	905	1942	605	711
IGHV1-24	29	7	165	541	98	113
IGHV1-3	0	0	1	1	0	0
IGHV1-45	0	0	2	2	0	0
IGHV1-46	27	5	255	494	175	201
IGHV1-58	3	1	27	54	6	16
IGHV1-69	88	68	601	1459	485	1226
IGHV1-69-2	0	0	2	2	0	0
IGHV1-8	17	16	296	562	261	509
IGHV2-26	0	0	1	0	0	0
IGHV2-5	19	8	88	393	110	43
IGHV2-70	0	0	0	1	0	0
IGHV3-11	42	21	372	1052	260	622
IGHV3-13	1	17	108	71	20	132
IGHV3-15	270	17	925	2436	188	568
IGHV3-20	13	15	281	580	141	352
IGHV3-21	147	49	830	2619	537	1000
IGHV3-23	262	99	1618	6571	620	1398
IGHV3-30	198	43	597	2360	319	1002
IGHV3-30-3	0	0	0	4	1	1
IGHV3-33	32	16	302	1013	168	528
IGHV3-43	8	8	20	144	22	62
IGHV3-47	0	0	0	0	0	0
IGHV3-48	92	92	980	2312	404	786
IGHV3-49	33	19	283	2305	116	339
IGHV3-52	0	0	0	0	0	1
IGHV3-53	71	16	191	398	52	165
IGHV3-64	8	30	159	240	19	94
IGHV3-66	18	9	229	561	72	222
IGHV3-7	221	80	1118	3712	584	1007
IGHV3-71	0	0	0	5	0	0
IGHV3-72	2	2	82	408	14	299
IGHV3-73	8	14	79	250	45	158
IGHV3-74	99	46	300	1272	243	378
IGHV3-9	46	40	440	908	179	331
IGHV4-28	0	0	1	3	0	3
IGHV4-30-2	0	0	1	1	1	0
IGHV4-30-4	0	0	0	1	0	0
IGHV4-31	0	0	0	3	0	0
IGHV4-34	37	26	859	1177	376	756
IGHV4-38-2	74	49	800	1981	752	624
IGHV4-39	38	41	231	1961	472	483
IGHV4-4	19	55	319	743	314	996
IGHV4-55	0	0	0	0	0	0
IGHV4-59	90	140	891	2421	1497	1964
IGHV4-61	15	23	447	844	326	551
IGHV5-10-1	0	0	0	1	0	0
IGHV5-51	42	22	611	1345	323	438
IGHV6-1	4	18	233	608	184	169
IGHV7-4-1	0	0	0	0	0	0
