	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	272	33	344	2132	1090	1729
IGHV1-2	118	49	521	2212	793	1237
IGHV1-24	28	4	160	2765	842	512
IGHV1-3	3	2	27	247	103	152
IGHV1-45	0	0	7	1	0	0
IGHV1-46	20	7	62	448	92	188
IGHV1-58	1	2	29	115	25	121
IGHV1-69	52	30	603	1905	800	2105
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	10	1	73	289	133	654
IGHV2-26	0	0	2	2	0	1
IGHV2-5	50	2	55	128	96	60
IGHV2-70	0	0	4	23	3	23
IGHV3-11	37	108	334	1521	329	1028
IGHV3-13	2	16	42	110	30	210
IGHV3-15	71	28	211	1239	184	1134
IGHV3-20	2	1	112	63	29	78
IGHV3-21	69	73	1003	2760	459	2154
IGHV3-23	288	138	1907	4511	835	2823
IGHV3-30	164	44	1209	4593	1037	4274
IGHV3-30-3	5	2	45	150	65	75
IGHV3-33	36	32	445	1683	230	1054
IGHV3-43	4	0	11	76	7	90
IGHV3-47	0	0	0	0	0	0
IGHV3-48	76	39	488	2005	737	1497
IGHV3-49	20	2	120	515	97	594
IGHV3-52	0	1	0	1	0	0
IGHV3-53	13	39	365	469	111	527
IGHV3-64	2	0	22	79	5	56
IGHV3-66	1	1	13	42	10	33
IGHV3-7	45	55	361	1933	477	1837
IGHV3-71	0	0	0	2	1	1
IGHV3-72	6	26	17	76	28	54
IGHV3-73	19	6	77	344	45	167
IGHV3-74	10	20	212	741	159	527
IGHV3-9	75	57	207	647	109	976
IGHV4-28	0	0	1	0	0	0
IGHV4-30-2	3	19	176	216	103	63
IGHV4-30-4	1	0	6	14	12	6
IGHV4-31	19	35	136	291	211	271
IGHV4-34	33	254	193	1348	832	1282
IGHV4-38-2	6	6	80	359	173	168
IGHV4-39	21	22	135	970	528	406
IGHV4-4	17	19	92	644	265	463
IGHV4-55	0	0	0	0	0	0
IGHV4-59	23	90	325	1494	966	1597
IGHV4-61	19	5	80	473	197	629
IGHV5-10-1	1	5	24	88	61	132
IGHV5-51	31	25	380	953	286	803
IGHV6-1	0	6	52	218	161	228
IGHV7-4-1	13	1	44	271	84	172
