	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	162	29	906	3602	707	1510
IGHV1-2	112	45	925	1898	566	789
IGHV1-24	29	6	145	595	124	122
IGHV1-3	0	0	2	3	1	0
IGHV1-45	0	0	4	2	1	0
IGHV1-46	29	5	251	512	180	199
IGHV1-58	1	2	34	47	4	20
IGHV1-69	68	55	655	1471	428	1315
IGHV1-69-2	0	0	1	2	0	0
IGHV1-8	19	16	293	599	248	473
IGHV2-26	0	0	1	3	1	0
IGHV2-5	19	6	81	393	123	31
IGHV2-70	0	0	0	4	1	0
IGHV3-11	53	39	382	1003	270	605
IGHV3-13	2	27	122	58	19	138
IGHV3-15	271	18	941	2431	176	568
IGHV3-20	17	13	287	546	150	367
IGHV3-21	137	55	838	2592	532	963
IGHV3-23	286	93	1598	6467	667	1410
IGHV3-30	237	32	550	2290	361	1042
IGHV3-30-3	0	0	1	5	0	0
IGHV3-33	26	12	307	975	173	529
IGHV3-43	11	2	23	163	7	63
IGHV3-47	0	0	0	0	0	0
IGHV3-48	97	81	1014	2329	404	736
IGHV3-49	35	14	269	2266	120	344
IGHV3-52	0	0	0	0	0	0
IGHV3-53	70	14	199	460	60	203
IGHV3-64	6	28	159	242	13	87
IGHV3-66	17	12	217	551	82	202
IGHV3-7	160	60	1113	3807	531	1034
IGHV3-71	0	0	0	4	0	0
IGHV3-72	2	3	71	435	24	338
IGHV3-73	9	14	78	277	46	140
IGHV3-74	70	69	314	1281	257	368
IGHV3-9	62	52	483	906	157	332
IGHV4-28	0	0	4	9	0	3
IGHV4-30-2	0	0	0	2	1	1
IGHV4-30-4	0	0	0	1	0	0
IGHV4-31	0	0	0	0	0	0
IGHV4-34	32	31	873	1208	398	757
IGHV4-38-2	87	45	765	2016	747	620
IGHV4-39	36	40	246	1817	433	475
IGHV4-4	21	49	326	787	305	1000
IGHV4-55	0	0	0	0	0	0
IGHV4-59	81	153	883	2484	1507	2033
IGHV4-61	21	21	454	784	312	592
IGHV5-10-1	0	0	0	0	0	0
IGHV5-51	48	26	615	1271	293	450
IGHV6-1	4	15	268	558	169	170
IGHV7-4-1	0	0	0	0	0	0
