	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	145	13	528	2708	717	1334
IGHV1-2	123	92	488	2537	776	1222
IGHV1-24	24	6	141	621	110	216
IGHV1-3	19	2	32	336	62	99
IGHV1-45	0	0	5	1	0	0
IGHV1-46	31	6	119	738	177	272
IGHV1-58	8	2	367	114	19	146
IGHV1-69	71	22	395	1479	583	1064
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	48	103	177	1114	295	920
IGHV2-26	0	0	0	5	0	0
IGHV2-5	17	5	145	635	221	40
IGHV2-70	1	0	8	43	13	24
IGHV3-11	98	62	430	1868	310	753
IGHV3-13	7	115	316	227	48	198
IGHV3-15	44	83	296	1458	222	973
IGHV3-20	19	3	94	542	40	193
IGHV3-21	88	60	570	2527	478	1241
IGHV3-23	164	86	859	4078	584	1055
IGHV3-30	225	48	702	4655	614	2519
IGHV3-30-3	70	33	567	3002	425	1496
IGHV3-33	24	4	305	813	83	398
IGHV3-43	26	1	23	280	19	185
IGHV3-47	0	0	0	0	0	0
IGHV3-48	78	63	451	1940	271	921
IGHV3-49	5	1	150	529	165	195
IGHV3-52	0	0	0	2	0	0
IGHV3-53	28	40	299	1140	139	660
IGHV3-64	0	0	5	18	0	2
IGHV3-66	1	0	10	40	8	28
IGHV3-7	121	111	647	2942	428	1368
IGHV3-71	0	0	0	0	0	0
IGHV3-72	7	1	8	82	12	23
IGHV3-73	4	4	34	194	33	174
IGHV3-74	18	21	151	969	182	311
IGHV3-9	115	49	682	1615	396	1051
IGHV4-28	0	3	15	1	0	1
IGHV4-30-2	3	9	61	228	87	38
IGHV4-30-4	25	25	155	1003	371	216
IGHV4-31	12	25	81	276	192	112
IGHV4-34	50	83	192	2004	516	681
IGHV4-38-2	38	15	112	579	243	125
IGHV4-39	115	129	391	2269	942	688
IGHV4-4	13	14	110	795	386	363
IGHV4-55	0	0	0	0	0	0
IGHV4-59	72	36	287	1142	561	548
IGHV4-61	17	5	94	603	249	252
IGHV5-10-1	0	0	1	3	0	3
IGHV5-51	29	39	717	1083	340	506
IGHV6-1	17	40	240	562	169	293
IGHV7-4-1	16	6	67	384	152	243
