	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	8	6	47	218	83	167
IGHV1-2	6	1	29	161	72	135
IGHV1-24	3	1	3	29	13	15
IGHV1-3	0	1	8	73	29	53
IGHV1-45	0	0	2	0	0	0
IGHV1-46	4	2	14	88	21	79
IGHV1-58	3	0	9	16	3	16
IGHV1-69	14	15	93	276	133	368
IGHV1-69-2	0	0	0	0	1	1
IGHV1-8	0	1	13	48	30	77
IGHV2-26	0	1	2	10	6	11
IGHV2-5	3	2	7	66	28	21
IGHV2-70	0	0	2	22	4	20
IGHV3-11	2	7	16	100	24	60
IGHV3-13	1	2	4	18	4	21
IGHV3-15	3	3	14	79	23	41
IGHV3-20	0	0	0	1	0	0
IGHV3-21	3	4	36	165	43	136
IGHV3-23	12	11	98	557	134	272
IGHV3-30	6	4	30	254	50	181
IGHV3-30-3	3	4	33	169	31	106
IGHV3-33	3	2	24	124	30	110
IGHV3-43	1	1	3	14	3	13
IGHV3-47	0	0	0	0	0	0
IGHV3-48	6	5	27	151	19	113
IGHV3-49	1	0	5	21	5	21
IGHV3-52	0	0	0	0	0	0
IGHV3-53	0	3	18	67	18	58
IGHV3-64	0	0	3	34	4	16
IGHV3-66	0	0	2	5	0	2
IGHV3-7	2	4	16	117	28	80
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	0	1	22	3	5
IGHV3-73	0	3	3	23	0	13
IGHV3-74	2	1	11	63	23	38
IGHV3-9	2	2	19	83	7	46
IGHV4-28	0	0	0	0	1	0
IGHV4-30-2	0	2	11	50	31	21
IGHV4-30-4	1	3	18	97	54	54
IGHV4-31	2	6	28	108	70	81
IGHV4-34	6	5	23	156	84	127
IGHV4-38-2	1	0	6	31	15	17
IGHV4-39	3	5	22	161	78	73
IGHV4-4	0	4	25	148	82	85
IGHV4-55	0	0	0	0	0	0
IGHV4-59	3	3	29	149	95	106
IGHV4-61	2	1	17	62	23	46
IGHV5-10-1	1	1	19	59	18	88
IGHV5-51	7	4	44	118	57	146
IGHV6-1	1	0	7	32	21	36
IGHV7-4-1	0	0	0	0	0	2
