	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	309	19	325	2088	1053	1801
IGHV1-2	115	56	539	2235	769	1179
IGHV1-24	40	9	171	2802	870	520
IGHV1-3	5	5	33	200	94	121
IGHV1-45	0	0	6	2	0	0
IGHV1-46	19	6	60	447	93	205
IGHV1-58	1	9	34	136	22	118
IGHV1-69	72	22	595	1881	747	2075
IGHV1-69-2	0	0	0	0	1	0
IGHV1-8	8	5	76	292	184	715
IGHV2-26	0	0	5	1	1	1
IGHV2-5	57	1	52	155	111	74
IGHV2-70	0	1	6	15	2	24
IGHV3-11	29	101	330	1425	357	1062
IGHV3-13	7	17	43	99	25	190
IGHV3-15	75	28	208	1304	169	1179
IGHV3-20	0	2	111	78	40	80
IGHV3-21	82	81	1026	2675	472	2196
IGHV3-23	266	135	1821	4440	858	2681
IGHV3-30	181	47	1257	4625	1000	4133
IGHV3-30-3	4	3	43	164	50	69
IGHV3-33	24	37	399	1629	215	1048
IGHV3-43	1	0	8	75	5	83
IGHV3-47	0	0	0	0	0	0
IGHV3-48	80	40	527	2135	676	1616
IGHV3-49	14	7	122	545	98	615
IGHV3-52	0	0	0	2	0	0
IGHV3-53	22	43	364	537	124	531
IGHV3-64	2	0	26	54	8	61
IGHV3-66	5	1	12	54	12	32
IGHV3-7	41	57	350	1961	463	1972
IGHV3-71	0	0	0	1	0	1
IGHV3-72	4	35	20	90	36	52
IGHV3-73	20	9	60	333	50	195
IGHV3-74	13	31	211	644	155	576
IGHV3-9	75	54	237	626	109	978
IGHV4-28	0	0	0	0	4	0
IGHV4-30-2	7	23	189	263	100	54
IGHV4-30-4	2	3	3	30	15	9
IGHV4-31	10	26	138	311	215	330
IGHV4-34	42	257	192	1376	809	1278
IGHV4-38-2	8	4	83	349	144	178
IGHV4-39	31	14	125	944	531	438
IGHV4-4	27	22	94	630	265	463
IGHV4-55	0	0	0	0	0	0
IGHV4-59	15	89	311	1557	916	1518
IGHV4-61	16	9	55	461	172	592
IGHV5-10-1	0	1	31	75	44	115
IGHV5-51	39	21	369	931	299	822
IGHV6-1	2	3	45	225	135	224
IGHV7-4-1	12	4	33	277	65	170
