	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	76	27	352	1586	481	981
IGHV1-2	42	20	275	1941	429	948
IGHV1-24	9	11	162	409	74	231
IGHV1-3	9	1	10	300	77	64
IGHV1-45	0	0	0	1	2	0
IGHV1-46	18	3	113	616	69	348
IGHV1-58	2	1	13	17	12	53
IGHV1-69	35	25	269	743	263	956
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	23	12	101	333	220	865
IGHV2-26	0	0	0	1	0	0
IGHV2-5	25	14	70	446	132	220
IGHV2-70	0	0	6	56	6	25
IGHV3-11	37	107	225	1237	198	481
IGHV3-13	10	89	36	155	65	74
IGHV3-15	88	59	291	2497	196	699
IGHV3-20	3	0	39	95	6	37
IGHV3-21	52	29	336	1698	238	967
IGHV3-23	307	182	1302	7077	1156	1841
IGHV3-30	330	52	595	4227	756	2640
IGHV3-30-3	455	44	604	3149	665	1638
IGHV3-33	62	46	427	3377	478	1154
IGHV3-43	7	4	16	149	4	49
IGHV3-47	0	0	0	0	0	0
IGHV3-48	51	51	388	1949	322	818
IGHV3-49	10	4	64	496	94	187
IGHV3-52	0	0	0	2	0	0
IGHV3-53	33	36	230	711	143	749
IGHV3-64	1	7	93	139	21	76
IGHV3-66	34	84	156	885	84	541
IGHV3-7	127	83	792	3262	549	1303
IGHV3-71	0	0	0	3	0	0
IGHV3-72	3	12	31	123	4	62
IGHV3-73	14	8	49	349	63	125
IGHV3-74	39	29	219	1016	269	605
IGHV3-9	61	25	682	1060	152	550
IGHV4-28	0	0	2	2	0	0
IGHV4-30-2	5	4	94	171	82	54
IGHV4-30-4	17	26	214	766	416	181
IGHV4-31	25	24	134	968	320	438
IGHV4-34	82	41	92	869	240	444
IGHV4-38-2	0	1	12	19	6	4
IGHV4-39	79	403	373	1697	737	583
IGHV4-4	28	32	153	884	271	409
IGHV4-55	0	0	0	0	0	0
IGHV4-59	66	95	669	2831	1015	1007
IGHV4-61	36	68	116	485	268	337
IGHV5-10-1	0	0	1	6	1	3
IGHV5-51	18	56	395	1662	255	677
IGHV6-1	7	46	122	298	102	341
IGHV7-4-1	0	0	2	8	5	6
