	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	9	11	43	286	111	179
IGHV1-2	4	0	17	63	22	57
IGHV1-24	0	1	6	37	10	16
IGHV1-3	5	5	23	162	63	63
IGHV1-45	0	0	3	1	0	1
IGHV1-46	2	3	20	118	35	53
IGHV1-58	2	0	9	31	7	16
IGHV1-69	12	13	79	374	117	244
IGHV1-69-2	0	0	0	0	0	2
IGHV1-8	1	1	19	75	38	59
IGHV2-26	2	2	3	15	7	8
IGHV2-5	7	7	43	189	67	39
IGHV2-70	0	0	2	34	8	26
IGHV3-11	3	1	12	98	26	44
IGHV3-13	1	1	2	13	4	9
IGHV3-15	3	1	7	69	11	34
IGHV3-20	0	0	6	16	2	9
IGHV3-21	2	4	26	106	22	61
IGHV3-23	8	11	49	384	68	105
IGHV3-30	10	7	39	262	50	131
IGHV3-30-3	9	6	25	205	30	72
IGHV3-33	4	5	31	184	22	95
IGHV3-43	0	0	1	7	0	4
IGHV3-47	0	0	0	1	0	0
IGHV3-48	3	5	16	105	30	56
IGHV3-49	0	0	4	23	3	9
IGHV3-52	0	0	0	0	0	0
IGHV3-53	0	2	8	48	9	38
IGHV3-64	1	0	5	44	6	13
IGHV3-66	1	3	20	67	12	42
IGHV3-7	4	5	24	73	11	22
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	0	5	24	2	3
IGHV3-73	0	1	7	21	3	10
IGHV3-74	2	4	11	83	20	43
IGHV3-9	2	3	9	42	6	27
IGHV4-28	0	0	0	9	4	4
IGHV4-30-2	1	4	20	113	54	29
IGHV4-30-4	4	6	19	154	54	53
IGHV4-31	8	9	30	184	64	75
IGHV4-34	5	5	16	176	95	78
IGHV4-38-2	0	0	1	6	4	6
IGHV4-39	11	13	39	258	126	109
IGHV4-4	3	3	14	118	44	51
IGHV4-55	0	0	0	0	0	0
IGHV4-59	8	14	58	357	141	158
IGHV4-61	1	3	16	120	31	30
IGHV5-10-1	0	0	14	42	11	56
IGHV5-51	3	3	42	120	48	116
IGHV6-1	0	2	7	33	17	19
IGHV7-4-1	0	0	0	3	1	1
