	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	75	40	732	2377	615	1086
IGHV1-2	46	37	547	1682	495	856
IGHV1-24	22	3	255	543	117	454
IGHV1-3	6	0	76	211	57	89
IGHV1-45	0	0	0	0	0	1
IGHV1-46	15	3	173	366	57	206
IGHV1-58	3	3	44	93	18	128
IGHV1-69	67	29	774	1460	499	1611
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	15	7	181	404	218	532
IGHV2-26	0	0	1	0	0	2
IGHV2-5	16	2	84	286	123	33
IGHV2-70	0	0	14	27	6	6
IGHV3-11	29	56	589	1362	225	643
IGHV3-13	2	9	85	156	36	106
IGHV3-15	48	11	720	1717	248	711
IGHV3-20	0	0	8	11	3	5
IGHV3-21	95	71	1195	2539	432	1075
IGHV3-23	384	200	2332	8454	1314	2038
IGHV3-30	156	43	616	3108	365	1579
IGHV3-30-3	158	103	1347	4342	456	1661
IGHV3-33	53	18	587	2026	214	790
IGHV3-43	2	3	55	222	33	78
IGHV3-47	0	0	0	0	0	0
IGHV3-48	93	82	766	2128	448	1016
IGHV3-49	9	2	227	569	59	231
IGHV3-52	0	0	0	1	0	0
IGHV3-53	31	30	662	1191	138	689
IGHV3-64	0	8	42	52	10	17
IGHV3-66	4	1	18	58	2	11
IGHV3-7	60	86	932	2881	485	1104
IGHV3-71	0	0	0	0	0	1
IGHV3-72	0	3	37	174	8	42
IGHV3-73	9	6	71	105	56	71
IGHV3-74	23	13	277	881	220	410
IGHV3-9	13	39	323	774	102	370
IGHV4-28	0	3	3	0	5	3
IGHV4-30-2	5	3	102	207	91	67
IGHV4-30-4	18	8	97	379	104	134
IGHV4-31	49	22	334	826	319	320
IGHV4-34	27	35	138	652	305	571
IGHV4-38-2	1	1	14	44	12	15
IGHV4-39	36	52	528	1656	690	543
IGHV4-4	18	24	213	622	307	419
IGHV4-55	0	0	0	0	0	0
IGHV4-59	27	81	583	1355	679	1006
IGHV4-61	13	28	203	484	228	309
IGHV5-10-1	11	2	85	85	33	119
IGHV5-51	32	23	798	998	307	481
IGHV6-1	2	0	190	357	153	276
IGHV7-4-1	0	0	3	0	3	1
