	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	524.0	90.0	2878.0	11191.0	2404.0	4721.0
IGHV1-2	313.0	128.0	2789.0	6007.0	1934.0	2390.0
IGHV1-24	87.0	15.0	478.0	1830.0	338.0	398.0
IGHV1-3	0.0	0.0	5.0	4.0	1.0	1.0
IGHV1-38-4	0.0	0.0	0.0	1.0	0.0	3.0
IGHV1-45	0.0	0.0	12.0	2.0	2.0	2.0
IGHV1-46	65.0	14.0	793.0	1624.0	541.0	623.0
IGHV1-58	8.0	4.0	112.0	158.0	22.0	57.0
IGHV1-68	0.0	0.0	0.0	0.0	0.0	1.0
IGHV1-69	293.0	200.0	2043.0	4662.0	1366.0	3933.0
IGHV1-69-2	0.0	0.0	3.0	6.0	0.0	0.0
IGHV1-8	52.0	59.0	921.0	1949.0	793.0	1549.0
IGHV1/OR15-1	0.0	0.0	60.0	8.0	2.0	0.0
IGHV2-26	0.0	0.0	2.0	2.0	2.0	3.0
IGHV2-5	65.0	27.0	286.0	1289.0	357.0	131.0
IGHV2-70	0.0	0.0	1.0	8.0	1.0	0.0
IGHV2-70D	1.0	0.0	14.0	42.0	9.0	8.0
IGHV3-11	173.0	92.0	1177.0	3190.0	862.0	1909.0
IGHV3-13	2.0	56.0	335.0	239.0	64.0	416.0
IGHV3-15	864.0	60.0	3021.0	7552.0	585.0	1664.0
IGHV3-20	41.0	61.0	898.0	1754.0	485.0	1039.0
IGHV3-21	442.0	140.0	2602.0	8421.0	1716.0	3069.0
IGHV3-23	859.0	309.0	4904.0	20390.0	2016.0	4354.0
IGHV3-30	692.0	118.0	1710.0	7396.0	1053.0	3259.0
IGHV3-30-3	0.0	0.0	1.0	15.0	1.0	3.0
IGHV3-33	82.0	43.0	985.0	3193.0	466.0	1630.0
IGHV3-38-3	0.0	0.0	0.0	3.0	5.0	5.0
IGHV3-43	29.0	7.0	61.0	474.0	44.0	191.0
IGHV3-43D	36.0	14.0	172.0	881.0	47.0	586.0
IGHV3-48	294.0	287.0	3155.0	7205.0	1252.0	2459.0
IGHV3-49	113.0	47.0	906.0	7249.0	414.0	1120.0
IGHV3-52	2.0	0.0	0.0	2.0	0.0	1.0
IGHV3-53	201.0	43.0	598.0	1350.0	169.0	595.0
IGHV3-64	34.0	97.0	528.0	755.0	48.0	285.0
IGHV3-64D	0.0	0.0	0.0	1.0	0.0	2.0
IGHV3-66	44.0	39.0	724.0	1808.0	239.0	699.0
IGHV3-69-1	10.0	4.0	13.0	91.0	9.0	39.0
IGHV3-7	581.0	180.0	3565.0	11856.0	1750.0	3089.0
IGHV3-71	0.0	0.0	0.0	9.0	0.0	0.0
IGHV3-72	6.0	9.0	236.0	1280.0	35.0	981.0
IGHV3-73	30.0	38.0	244.0	827.0	113.0	438.0
IGHV3-74	283.0	176.0	996.0	3955.0	850.0	1206.0
IGHV3-9	210.0	128.0	1472.0	2880.0	507.0	1039.0
IGHV3-NL1	0.0	0.0	1.0	13.0	0.0	0.0
IGHV4-28	0.0	2.0	19.0	16.0	2.0	8.0
IGHV4-30-2	0.0	2.0	3.0	5.0	3.0	1.0
IGHV4-30-4	0.0	0.0	0.0	4.0	0.0	1.0
IGHV4-31	0.0	0.0	0.0	1.0	3.0	0.0
IGHV4-34	108.0	92.0	2767.0	3664.0	1146.0	2427.0
IGHV4-38-2	229.0	193.0	2340.0	6234.0	2325.0	1944.0
IGHV4-39	131.0	115.0	754.0	5838.0	1414.0	1481.0
IGHV4-4	42.0	159.0	971.0	2415.0	979.0	3101.0
IGHV4-59	269.0	428.0	2795.0	7744.0	4655.0	6280.0
IGHV4-61	57.0	79.0	1434.0	2615.0	1028.0	1766.0
IGHV4/OR15-8	0.0	0.0	1.0	0.0	0.0	0.0
IGHV5-10-1	0.0	0.0	2.0	1.0	0.0	1.0
IGHV5-51	142.0	80.0	1988.0	4246.0	1010.0	1345.0
IGHV6-1	17.0	69.0	794.0	1787.0	514.0	542.0
