	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	1850.0	132.0	2084.0	13563.0	6851.0	11317.0
IGHV1-2	711.0	299.0	3431.0	14295.0	4900.0	8008.0
IGHV1-24	218.0	54.0	1111.0	17872.0	5672.0	3068.0
IGHV1-3	28.0	24.0	209.0	1552.0	569.0	844.0
IGHV1-45	0.0	0.0	49.0	17.0	7.0	1.0
IGHV1-46	91.0	47.0	370.0	2943.0	665.0	1361.0
IGHV1-58	5.0	42.0	203.0	859.0	183.0	792.0
IGHV1-68	0.0	0.0	0.0	1.0	0.0	1.0
IGHV1-69	354.0	206.0	3874.0	12193.0	5060.0	13547.0
IGHV1-69-2	0.0	0.0	0.0	2.0	2.0	0.0
IGHV1-8	69.0	35.0	493.0	1902.0	1063.0	4199.0
IGHV1/OR15-1	1.0	0.0	0.0	2.0	1.0	3.0
IGHV1/OR15-2	0.0	0.0	0.0	0.0	5.0	0.0
IGHV1/OR15-3	0.0	0.0	0.0	2.0	1.0	0.0
IGHV2-26	0.0	2.0	24.0	8.0	4.0	8.0
IGHV2-5	379.0	6.0	291.0	1004.0	634.0	367.0
IGHV2-70	0.0	3.0	43.0	112.0	25.0	136.0
IGHV3-11	205.0	566.0	2176.0	9506.0	2135.0	6899.0
IGHV3-13	12.0	112.0	269.0	693.0	192.0	1366.0
IGHV3-15	493.0	173.0	1259.0	8270.0	1147.0	7425.0
IGHV3-20	8.0	11.0	701.0	406.0	237.0	586.0
IGHV3-21	476.0	568.0	6326.0	17364.0	2925.0	14023.0
IGHV3-22	0.0	0.0	0.0	3.0	3.0	1.0
IGHV3-23	1853.0	833.0	12126.0	28795.0	5388.0	17864.0
IGHV3-30	1126.0	330.0	7891.0	29668.0	6275.0	26937.0
IGHV3-30-3	28.0	11.0	293.0	1005.0	364.0	495.0
IGHV3-33	224.0	252.0	2854.0	10711.0	1550.0	6717.0
IGHV3-35	0.0	0.0	2.0	11.0	2.0	2.0
IGHV3-38-3	0.0	0.0	0.0	0.0	1.0	0.0
IGHV3-43	21.0	1.0	47.0	521.0	35.0	485.0
IGHV3-43D	6.0	0.0	34.0	210.0	18.0	417.0
IGHV3-48	510.0	297.0	3227.0	13358.0	4414.0	10327.0
IGHV3-49	86.0	34.0	759.0	3515.0	592.0	3972.0
IGHV3-52	0.0	1.0	1.0	11.0	2.0	2.0
IGHV3-53	114.0	288.0	2405.0	3248.0	817.0	3323.0
IGHV3-64	12.0	9.0	126.0	418.0	66.0	461.0
IGHV3-64D	72.0	63.0	496.0	2577.0	585.0	1770.0
IGHV3-66	9.0	6.0	97.0	345.0	57.0	217.0
IGHV3-69-1	5.0	1.0	95.0	179.0	34.0	188.0
IGHV3-7	256.0	340.0	2345.0	12928.0	2936.0	12180.0
IGHV3-71	0.0	0.0	0.0	12.0	2.0	7.0
IGHV3-72	26.0	186.0	129.0	510.0	214.0	328.0
IGHV3-73	127.0	44.0	533.0	2209.0	286.0	1200.0
IGHV3-74	103.0	153.0	1390.0	4431.0	987.0	3535.0
IGHV3-9	506.0	324.0	1446.0	4176.0	683.0	6154.0
IGHV3-NL1	0.0	3.0	45.0	47.0	7.0	30.0
IGHV4-28	0.0	4.0	4.0	1.0	5.0	2.0
IGHV4-30-2	32.0	108.0	1123.0	1491.0	659.0	372.0
IGHV4-30-4	5.0	4.0	31.0	171.0	81.0	46.0
IGHV4-31	74.0	209.0	855.0	1997.0	1268.0	1960.0
IGHV4-34	226.0	1705.0	1250.0	8725.0	5361.0	8233.0
IGHV4-38-2	44.0	27.0	532.0	2294.0	1023.0	1125.0
IGHV4-39	139.0	148.0	835.0	6418.0	3450.0	2725.0
IGHV4-4	181.0	126.0	653.0	3999.0	1720.0	2966.0
IGHV4-59	158.0	553.0	2077.0	9837.0	6017.0	9916.0
IGHV4-61	119.0	38.0	400.0	3021.0	1234.0	3782.0
IGHV4/OR15-8	0.0	1.0	2.0	14.0	2.0	63.0
IGHV5-10-1	8.0	13.0	161.0	596.0	322.0	908.0
IGHV5-51	222.0	105.0	2420.0	6102.0	1917.0	5424.0
IGHV6-1	13.0	29.0	440.0	1416.0	864.0	1472.0
IGHV7-4-1	112.0	14.0	251.0	1797.0	495.0	1104.0
