	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-2	4822	3526	34603	162974	73634	148530
IGHV1-3	2495	1680	13429	75330	32939	56010
IGHV1-8	1622	1603	11868	55952	34357	65835
IGHV1-18	6818	4626	43174	224133	91387	174045
IGHV1-24	1154	801	8016	35102	12623	20074
IGHV1-45	18	25	625	857	415	684
IGHV1-46	3713	2173	21185	102133	38233	78937
IGHV1-58	404	429	6257	20971	5699	23965
IGHV1-68	0	1	8	57	16	63
IGHV1-69	11995	12549	79688	341251	150232	389817
IGHV1-69-2	66	81	329	2315	965	1166
IGHV2-5	2184	1055	11000	61104	28110	15215
IGHV2-10	0	0	0	0	0	0
IGHV2-26	218	730	2124	15588	8216	12177
IGHV2-70	175	340	4570	24045	5877	21588
IGHV3-7	3477	3593	21674	126584	28584	77455
IGHV3-9	2701	2782	20564	78813	16211	51671
IGHV3-11	2481	3479	19951	102741	28084	63764
IGHV3-13	216	1866	4668	12247	3293	17926
IGHV3-15	2235	1546	14601	85168	14493	47052
IGHV3-16	1	0	3	5	0	8
IGHV3-19	3	6	17	95	33	116
IGHV3-20	4	9	34	148	33	90
IGHV3-21	4338	4701	37238	175541	47151	141516
IGHV3-22	0	0	0	21	6	15
IGHV3-23	17704	15971	97885	628908	138814	272408
IGHV3-25	0	0	0	4	0	1
IGHV3-30	7157	5759	40804	278706	49436	207037
IGHV3-30-3	4940	4282	32484	190664	36594	138659
IGHV3-30-5	0	0	0	0	0	0
IGHV3-33	3265	3769	27013	138968	29817	118114
IGHV3-35	1	3	35	111	34	90
IGHV3-38	0	0	1	7	0	4
IGHV3-38-3	1	0	0	0	1	1
IGHV3-43	401	305	1518	11385	1605	11650
IGHV3-47	0	1	20	59	23	39
IGHV3-48	3684	4588	31706	144137	34442	108408
IGHV3-49	609	408	4619	29016	5521	21749
IGHV3-52	1	2	16	108	33	62
IGHV3-53	1916	2988	18963	71349	14972	53846
IGHV3-62	0	0	0	1	0	0
IGHV3-64	813	496	4499	25972	5804	12907
IGHV3-66	129	222	1372	6192	1122	4385
IGHV3-69-1	40	35	329	1755	497	1032
IGHV3-71	0	0	3	31	5	21
IGHV3-72	389	828	2497	15730	2663	7024
IGHV3-73	386	868	3065	18595	4524	13721
IGHV3-74	1980	1715	12445	68961	19571	44941
IGHV4-4	2861	4644	23607	119968	67404	89971
IGHV4-28	34	117	371	1823	913	774
IGHV4-30-2	1101	1765	10358	46576	31113	21737
IGHV4-30-4	2092	3129	17793	95974	51487	58201
IGHV4-31	3502	4727	29300	136917	73087	83425
IGHV4-34	4158	4536	22716	166525	89967	146006
IGHV4-38-2	862	805	6342	43238	24507	21109
IGHV4-39	3459	4852	23320	149968	80474	78237
IGHV4-55	1	0	5	56	40	16
IGHV4-59	3685	5998	35097	169895	93250	119435
IGHV4-61	1762	2137	12665	74296	37855	52447
IGHV5-10-1	1060	1280	15668	55762	27604	96450
IGHV5-51	3322	3338	44005	137452	52282	151786
IGHV5-78	0	0	5	10	2	10
IGHV6-1	611	575	8861	35811	19678	44249
IGHV7-4-1	20	27	182	842	717	1603
IGHV7-34-1	0	0	0	0	0	0
IGHV7-40	0	0	0	0	0	0
IGHV7-81	0	0	3	26	9	30
